time [s],flow rate [kg],fill mass [kg],fill temperature [K],fill pressure [Pa],run temperature [K],run mass [kg],run pressure [Pa],head loss [Pa]
7.069999999999894,1.374589880617131,77.56362424020104,288.47726267573,4544964.216042121,286.1606991685733,22.436375759798878,4304798.8195178555,0
7.0799999999998935,1.3707945137622717,77.54987834139486,288.4742663570338,4544647.210707912,286.170674162747,22.45012165860505,4305812.061382437,0
7.089999999999893,1.3670012979491193,77.53617039625723,288.4712781853641,4544331.083929751,286.180611849274,22.46382960374267,4306821.691335256,0
7.099999999999893,1.3632102250249705,77.52250038327774,288.4682981570138,4544015.835179026,286.1905123374115,22.477499616722163,4307827.718506665,0
7.109999999999893,1.3594212868604418,77.50886828102749,288.4653262682908,4543701.463929191,286.20037573583954,22.49113171897241,4308830.151983017,0
7.119999999999893,1.355634475349585,77.49527406815888,288.4623625155183,4543387.969655755,286.210202152663,22.504725931841016,4309829.000806791,0
7.129999999999892,1.3518497824096494,77.48171772340538,288.4594068950345,4543075.351836308,286.2199916954156,22.518282276594512,4310824.273976868,0
7.139999999999892,1.348067199980913,77.46819922558129,288.4564594031924,4542763.609950449,286.22974447106276,22.53180077441861,4311815.980448692,0
7.149999999999892,1.344286720026694,77.45471855358147,288.4535200363604,4542452.7434798535,286.2394605860047,22.545281446418418,4312804.129134498,0
7.159999999999892,1.3405083345329631,77.4412756863812,288.4505887909213,4542142.751908214,286.2491401460801,22.558724313618686,4313788.728903556,0
7.169999999999892,1.33673203550844,77.42787060303587,288.447665663273,4541833.634721246,286.25878325656856,22.572129396964016,4314769.788582314,0
7.179999999999891,1.3329578149844439,77.41450328268078,288.4447506498284,4541525.39140671,286.2683900221939,22.5854967173191,4315747.316954631,0
7.189999999999891,1.3291856650146447,77.40117370453093,288.4418437470147,4541218.021454355,286.27796054712735,22.598826295468943,4316721.322761974,0
7.199999999999891,1.3254155776750123,77.38788184788079,288.43894495127427,4540911.524355983,286.28749493499083,22.612118152119088,4317691.814703665,0
7.209999999999891,1.3216475450637255,77.37462769210404,288.4360542590639,4540605.899605362,286.2969932888592,22.625372307895837,4318658.80143698,0
7.2199999999998905,1.317881559300898,77.36141121665341,288.43317166685495,4540301.146698264,286.3064557112641,22.638588783346474,4319622.291577456,0
7.22999999999989,1.3141176125286542,77.3482324010604,288.4302971711336,4539997.265132483,286.3158823041965,22.651767598939482,4320582.293699024,0
7.23999999999989,1.3103556969108094,77.33509122493511,288.4274307684002,4539694.254407752,286.32527316910955,22.66490877506477,4321538.816334214,0
7.24999999999989,1.3065958046328834,77.321987667966,288.42457245516994,4539392.11402583,286.334628406922,22.678012332033877,4322491.86797438,0
7.25999999999989,1.3028379279018982,77.30892170991967,288.42172222797217,4539090.843490426,286.34394811802053,22.691078290080206,4323441.457069858,0
7.269999999999889,1.2990820589463106,77.29589333064065,288.4188800833507,4538790.442307224,286.3532324022631,22.704106669359224,4324387.592030166,0
7.279999999999889,1.2953281900158724,77.28290251005119,288.4160460178638,4538490.909983871,286.3624813589813,22.717097489948685,4325330.281224198,0
7.289999999999889,1.2915763133813842,77.26994922815103,288.41322002808386,4538192.246029978,286.37169508698423,22.730050771848845,4326269.532980456,0
7.299999999999889,1.2878264213348345,77.25703346501722,288.4104021105976,4537894.449957092,286.3808736845598,22.74296653498266,4327205.355587135,0
7.309999999999889,1.2840785061889788,77.24415520080387,288.407592262006,4537597.521278733,286.3900172494791,22.75584479919601,4328137.757292446,0
7.319999999999888,1.2803325602774058,77.23131441574199,288.4047904789239,4537301.459510316,286.399125878998,22.7686855842579,4329066.746304671,0
7.329999999999888,1.2765885759545035,77.21851109013922,288.4019967579809,4537006.264169255,286.40819966986044,22.781488909860673,4329992.330792431,0
7.339999999999888,1.2728465455950118,77.20574520437967,288.39921109581985,4536711.934774828,286.4172387183012,22.79425479562022,4330914.51888484,0
7.349999999999888,1.2691064615942,77.19301673892372,288.3964334890983,4536418.470848282,286.4262431200485,22.80698326107617,4331833.318671709,0
7.3599999999998875,1.265368316367587,77.18032567430778,288.3936639344872,4536125.8719127495,286.4352129703269,22.819674325692112,4332748.738203694,0
7.369999999999887,1.2616321023510142,77.1676719911441,288.390902428672,4535834.1374933,286.4441483638593,22.83232800885579,4333660.785492476,0
7.379999999999887,1.2578978120001505,77.15505567012059,288.38814896835163,4535543.267116893,286.45304939487096,22.8449443298793,4334569.468511015,0
7.389999999999887,1.2541654377909726,77.14247669200059,288.3854035502392,4535253.260312413,286.4619161570903,22.8575233079993,4335474.79519358,0
7.399999999999887,1.2504349722188757,77.12993503762267,288.38266617106126,4534964.11661061,286.4707487437536,22.87006496237721,4336376.773436116,0
7.4099999999998865,1.2467064077993435,77.11743068790048,288.3799368275585,4534675.835544151,286.47954724760564,22.8825693120994,4337275.411096225,0
7.419999999999886,1.24297973706715,77.10496362382248,288.37721551648485,4534388.41664755,286.4883117609038,22.89503637617739,4338170.71599349,0
7.429999999999886,1.2392549525768266,77.09253382645181,288.3745022346086,4534101.85945726,286.4970423754197,22.907466173548062,4339062.695909567,0
7.439999999999886,1.2355320469021536,77.08014127692604,288.37179697871113,4533816.163511557,286.5057391824421,22.91985872307383,4339951.358588362,0
7.449999999999886,1.2318110126359938,77.06778595645702,288.3690997455875,4533531.328350594,286.51440227277976,22.932214043542853,4340836.711736283,0
7.459999999999885,1.2280918423907095,77.05546784633066,288.36641053204653,4533247.353516414,286.52303173676296,22.94453215366921,4341718.763022255,0
7.469999999999885,1.2243745287974308,77.04318692790675,288.36372933491043,4532964.238552901,286.53162766424714,22.95681307209312,4342597.520078044,0
7.479999999999885,1.2206590645062383,77.03094318261877,288.36105615101485,4532681.983005783,286.5401901446147,22.969056817381095,4343472.990498336,0
7.489999999999885,1.216945442186021,77.0187365919737,288.35839097720896,4532400.586422656,286.54871926677777,22.981263408026155,4344345.181840941,0
7.4999999999998845,1.2132336545244722,77.00656713755184,288.35573381035533,4532120.048352955,286.5572151191801,22.993432862448014,4345214.101626903,0
7.509999999999884,1.2095236942276302,76.99443480100659,288.35308464732975,4531840.3683479335,286.5656777898005,23.00556519899326,4346079.757340752,0
7.519999999999884,1.2058155540202329,76.98233956406432,288.3504434850215,4531561.5459607085,286.57410736615395,23.017660435935536,4346942.156430575,0
7.529999999999884,1.2021092266451108,76.97028140852412,288.3478103203329,4531283.580746184,286.58250393529534,23.02971859147574,4347801.306308261,0
7.539999999999884,1.1984047048636688,76.95826031625766,288.3451851501799,4531006.472261148,286.59086758382057,23.04173968374219,4348657.214349576,0
7.5499999999998835,1.194701981455073,76.94627626920902,288.3425679714911,4530730.220064139,286.59919839787005,23.053723730790825,4349509.887894416,0
7.559999999999883,1.191001049216748,76.93432924939447,288.3399587812088,4530454.823715554,286.60749646313013,23.065670750605374,4350359.334246885,0
7.569999999999883,1.1873019009639951,76.9224192389023,288.337357576288,4530180.282777577,286.6157618648358,23.077580761097543,4351205.560675476,0
7.579999999999883,1.1836045295298592,76.91054621989265,288.3347643536971,4529906.596814209,286.6239946877731,23.089453780107185,4352048.574413264,0
7.589999999999883,1.179908927765026,76.89871017459735,288.3321791104173,4529633.765391238,286.63219501628146,23.101289825402482,4352888.382658039,0
7.599999999999882,1.1762150885378995,76.88691108531971,288.3296018434429,4529361.7880762415,286.6403629342552,23.113088914680134,4353724.992572407,0
7.609999999999882,1.1725230047343616,76.87514893443434,288.3270325497814,4529090.664438623,286.6484985251469,23.12485106556551,4354558.411284028,0
7.619999999999882,1.1688326692573914,76.86342370438699,288.3244712264526,4528820.394049502,286.6566018719691,23.136576295612855,4355388.645885741,0
7.629999999999882,1.1651440750275983,76.85173537769441,288.32191787049,4528550.976481853,286.6646730572961,23.14826462230543,4356215.703435673,0
7.6399999999998816,1.1614572149824647,76.84008393694414,288.31937247893916,4528282.411310348,286.67271216326685,23.159916063055707,4357039.590957426,0
7.649999999999881,1.157772082076635,76.82846936479432,288.31683504885916,4528014.698111504,286.6807192715871,23.17153063520553,4357860.31544026,0
7.659999999999881,1.1540886692816146,76.81689164397355,288.3143055773213,4527747.836463539,286.6886944635311,23.1831083560263,4358677.883839163,0
7.669999999999881,1.1504069695858457,76.80535075728073,288.3117840614101,4527481.825946484,286.69663781994393,23.194649242719116,4359492.30307506,0
7.679999999999881,1.1467269759943841,76.79384668758487,288.3092704982223,4527216.666142074,286.7045494212439,23.206153312414976,4360303.58003492,0
7.6899999999998805,1.1430486815290326,76.78237941782493,288.3067648848679,4526952.356633859,286.7124293474244,23.21762058217492,4361111.721571941,0
7.69999999999988,1.139372079227977,76.77094893100964,288.3042672184689,4526688.897007063,286.72027767805605,23.22905106899021,4361916.734505644,0
7.70999999999988,1.1356971621458207,76.75955521021736,288.3017774961603,4526426.286848698,286.7280944922891,23.24044478978249,4362718.625622084,0
7.71999999999988,1.132023923353631,76.7481982385959,288.29929571508967,4526164.525747513,286.7358798688548,23.25180176140395,4363517.401673911,0
7.72999999999988,1.1283523559385016,76.73687799936236,288.296821872417,4525903.613293986,286.74363388606844,23.263122000637487,4364313.069380595,0
7.739999999999879,1.1246824530036121,76.72559447580298,288.2943559653148,4525643.549080308,286.7513566218307,23.274405524196872,4365105.635428519,0
7.749999999999879,1.1210142076682998,76.71434765127294,288.291897990968,4525384.332700402,286.7590481536296,23.28565234872691,4365895.106471082,0
7.759999999999879,1.117347613067638,76.70313750919627,288.289447946574,4525125.96374992,286.7667085585431,23.29686249080359,4366681.489128937,0
7.769999999999879,1.1136826623524885,76.69196403306559,288.28700582934255,4524868.441826214,286.77433791324074,23.308035966934266,4367464.789990054,0
7.779999999999879,1.1100193486895236,76.68082720644206,288.2845716364959,4524611.76652837,286.7819362939856,23.31917279355779,4368245.015609866,0
7.789999999999878,1.106357665260907,76.66972701295516,288.28214536526855,4524355.937457161,286.78950377663637,23.330272987044687,4369022.172511419,0
7.799999999999878,1.1026976052642132,76.65866343630256,288.2797270129072,4524100.954215067,286.79704043664947,23.341336563697297,4369796.267185529,0
7.809999999999878,1.0990391619125393,76.64763646024991,288.27731657667096,4523846.81640628,286.8045463490806,23.352363539749938,4370567.306090859,0
7.819999999999878,1.0953823284341135,76.63664606863078,288.2749140538309,4523593.523636648,286.8120215885871,23.363353931369062,4371335.295654092,0
7.8299999999998775,1.0917270980723919,76.62569224534644,288.27251944167074,4523341.075513761,286.8194662294296,23.374307754653405,4372100.242270087,0
7.839999999999877,1.0880734640859964,76.61477497436572,288.27013273748605,4523089.471646871,286.826880345474,23.385225025634128,4372862.152301935,0
7.849999999999877,1.084421419748348,76.60389423972485,288.2677539385844,4522838.711646888,286.83426401019335,23.39610576027499,4373621.032081151,0
7.859999999999877,1.0807709583478629,76.59305002552736,288.26538304228586,4522588.795126444,286.8416172966698,23.40694997447247,4374376.887907803,0
7.869999999999877,1.0771220731876576,76.58224231594389,288.2630200459222,4522339.721699801,286.8489402775964,23.41775768405595,4375129.726050599,0
7.879999999999876,1.073474757585572,76.571471095212,288.26066494683755,4522091.490982943,286.85623302527904,23.428528904787825,4375879.5527470745,0
7.889999999999876,1.0698290048738346,76.56073634763615,288.2583177423876,4521844.102593451,286.8634956116382,23.43926365236368,4376626.374203673,0
7.899999999999876,1.0661848083994345,76.55003805758741,288.25597842994046,4521597.556150627,286.87072810821064,23.44996194241242,4377370.1965958625,0
7.909999999999876,1.062542161523439,76.53937620950342,288.2536470068759,4521351.851275394,286.8779305861516,23.460623790496413,4378111.026068327,0
7.919999999999876,1.0589010576214204,76.52875078788819,288.2513234705858,4521106.98759036,286.8851031162362,23.471249212111648,4378848.868735019,0
7.929999999999875,1.055261490082891,76.51816177731197,288.24900781847373,4520862.964719747,286.8922457688616,23.481838222687863,4379583.730679336,0
7.939999999999875,1.051623452311597,76.50760916241114,288.2467000479552,4520619.782289446,286.8993586140483,23.49239083758869,4380315.617954203,0
7.949999999999875,1.0479869377252249,76.49709292788803,288.2444001564576,4520377.439926988,286.9064417214423,23.502907072111807,4381044.536582218,0
7.959999999999875,1.0443519397552,76.48661305851078,288.24210814141986,4520135.937261528,286.913495160317,23.51338694148906,4381770.492555789,0
7.9699999999998745,1.0407184518468995,76.47616953911323,288.23982400029297,4519895.273923867,286.920518999574,23.52383046088661,4382493.4918372,0
7.979999999999874,1.03708646745927,76.46576235459476,288.23754773053963,4519655.449546448,286.92751330774627,23.53423764540508,4383213.540358802,0
7.989999999999874,1.033455980064746,76.45539148992016,288.23527932963395,4519416.463763309,286.9344781529986,23.544608510079673,4383930.64402309,0
7.999999999999874,1.0298269831494624,76.4450569301195,288.2330187950621,4519178.316210143,286.94141360312983,23.55494306988032,4384644.808702796,0
8.009999999999874,1.0261994702125965,76.43475866028801,288.23076612432135,4518941.006524216,286.9483197255746,23.565241339711815,4385356.040241079,0
8.019999999999873,1.02257343476699,76.42449666558589,288.2285213149213,4518704.534344483,286.95519658740477,23.57550333441394,4386064.344451575,0
8.029999999999873,1.0189488703382725,76.41427093123822,288.22628436438254,4518468.899311441,286.96204425533153,23.585729068761612,4386769.727118567,0
8.039999999999873,1.0153257704654988,76.40408144253483,288.2240552702375,4518234.101067228,286.9688627957062,23.595918557464994,4387472.193997017,0
8.049999999999873,1.0117041287003707,76.39392818483017,288.2218340300301,4518000.139255588,286.9756522745231,23.60607181516965,4388171.750812822,0
8.059999999999873,1.0080839386077567,76.38381114354317,288.2196206413157,4517767.013521852,286.98241275741987,23.616188856456652,4388868.403262754,0
8.069999999999872,1.004465193765058,76.37373030415709,288.2174151016611,4517534.723512945,286.9891443096801,23.62626969584273,4389562.15701472,0
8.079999999999872,1.0008478877625444,76.36368565221944,288.2152174086448,4517303.268877412,286.9958469962345,23.63631434778038,4390253.017707795,0
8.089999999999872,0.9972320142029731,76.35367717334182,288.2130275598563,4517072.649265364,287.00252088166235,23.646322826658007,4390940.99095235,0
8.099999999999872,0.9936175667016187,76.3437048531998,288.2108455528969,4516842.864328509,287.00916603019346,23.656295146800037,4391626.082330173,0
8.109999999999872,0.9900045388860563,76.33376867753277,288.2086713853789,4516613.913720121,287.01578250570947,23.666231322467052,4392308.297394571,0
8.119999999999871,0.9863929243963212,76.32386863214391,288.2065050549263,4516385.797095087,287.0223703717454,23.676131367855913,4392987.641670475,0
8.129999999999871,0.9827827168844755,76.31400470289995,288.20434655917416,4516158.514109841,287.0289296914915,23.685995297099876,4393664.12065456,0
8.139999999999871,0.979173910014758,76.3041768757311,288.2021958957689,4515932.064422404,287.0354605277944,23.69582312426872,4394337.739815344,0
8.14999999999987,0.9755664974633469,76.29438513663095,288.2000530623683,4515706.447692368,287.04196294315886,23.70561486336887,4395008.504593308,0
8.15999999999987,0.9719604729183166,76.28462947165632,288.197918056641,4515481.663580867,287.04843699974924,23.715370528343502,4395676.42040097,0
8.16999999999987,0.9683558300796044,76.27490986692713,288.19579087626744,4515257.711750646,287.05488275939103,23.725090133072687,4396341.4926230395,0
8.17999999999987,0.9647525626587007,76.26522630862634,288.1936715189388,4515034.591865964,287.06130028357234,23.734773691373483,4397003.72661649,0
8.18999999999987,0.9611506643788895,76.25557878299975,288.1915599823575,4514812.303592655,287.06768963344507,23.74442121700007,4397663.127710634,0
8.19999999999987,0.9575501289747811,76.24596727635596,288.18945626423715,4514590.84659811,287.07405086982703,23.75403272364386,4398319.701207311,0
8.20999999999987,0.9539509501924467,76.23639177506621,288.18736036230257,4514370.220551269,287.0803840532029,23.76360822493361,4398973.452380921,0
8.21999999999987,0.9503531217892375,76.22685226556429,288.18527227428933,4514150.425122596,287.0866892437257,23.773147734435533,4399624.386478529,0
8.229999999999869,0.9467566375337562,76.2173487343464,288.1831919979445,4513931.459984142,287.0929665012185,23.782651265653424,4400272.508720015,0
8.239999999999869,0.9431614912055616,76.20788116797107,288.18111953102584,4513713.324809462,287.0992158851757,23.792118832028763,4400917.82429814,0
8.249999999999869,0.9395676765953996,76.198449553059,288.17905487130224,4513496.019273658,287.1054374547642,23.80155044694082,4401560.338378615,0
8.259999999999868,0.9359751875048044,76.18905387629306,288.1769980165536,4513279.543053375,287.11163126882536,23.810946123706774,4402200.056100268,0
8.269999999999868,0.9323840177461935,76.179694124418,288.17494896457094,4513063.895826795,287.11779738587586,23.820305875581823,4402836.982575099,0
8.279999999999868,0.9287941611424501,76.17037028424055,288.1729077131557,4512849.077273589,287.1239358641095,23.829629715759285,4403471.1228884,0
8.289999999999868,0.9252056115273757,76.16108234262913,288.17087426012097,4512635.087075012,287.13004676139826,23.83891765737071,4404102.482098828,0
8.299999999999867,0.9216183627450376,76.15183028651386,288.16884860329003,4512421.924913786,287.1361301352938,23.848169713485984,4404731.065238511,0
8.309999999999867,0.9180324086499743,76.14261410288641,288.1668307404975,4512209.590474189,287.1421860430289,23.857385897113435,4405356.877313167,0
8.319999999999867,0.9144477431070656,76.13343377879991,288.16482066958883,4511998.083442015,287.14821454151877,23.866566221199935,4405979.923302168,0
8.329999999999867,0.9108643599912875,76.12428930136885,288.16281838841996,4511787.403504542,287.1542156873621,23.875710698631007,4406600.208158643,0
8.339999999999867,0.9072822531877607,76.11518065776893,288.160823894858,4511577.550350592,287.16018953684306,23.88481934223092,4407217.736809592,0
8.349999999999866,0.9037014165916513,76.10610783523705,288.1588371867807,4511368.523670475,287.16613614593166,23.893892164762796,4407832.514155934,0
8.359999999999866,0.9001218441078197,76.09707082107114,288.1568582620765,4511160.323156009,287.17205557028615,23.902929178928712,4408444.545072673,0
8.369999999999866,0.8965435296510522,76.08806960263006,288.15488711864464,4510952.948500512,287.1779478652534,23.91193039736979,4409053.834408912,0
8.379999999999866,0.8929664671459202,76.07910416733354,288.15292375439526,4510746.399398828,287.1838130858705,23.9208958326663,4409660.386987981,0
8.389999999999866,0.8893906505263722,76.07017450266208,288.15096816724895,4510540.675547262,287.18965128686636,23.92982549733776,4410264.207607537,0
8.399999999999865,0.8858160737357653,76.06128059615682,288.14902035513694,4510335.776643618,287.19546252266275,23.938719403843024,4410865.301039658,0
