,alpha around [rad s^-2],stability [m],x position [m],theta down [rad],omega around [rad s^-1],y acceleration [m s^-2],y lift [N],heading [rad],z position [m],thrust [N],time [s],z net force [N],CD [],x velocity [m s^-1],theta around [rad],z drag [N],stability [cal],x lift [N],z velocity [m s^-1],alpha down [rad s^-2],x acceleration [m s^-2],omega down [rad s^-1],y velocity [m s^-1],x drag [N],z acceleration [m s^-2],y net force [N],z lift [N],AOA [rad],mass [kg],x net force [N],y position [m],y drag [N],CL []
2311,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3632.2395727692297,0.0,115.54999999999558,0.0,0.8962833878962085,0.0,1.5707963267948966,733.6984274482642,10.865833686656309,0.0,-260.9906856876425,0.0,0.0,0.0,0.0,-0.0,2.3762521531446725,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2312,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3619.1930124698056,0.0,115.59999999999557,0.0,0.8962708008083144,0.0,1.5707963267948966,734.0548162284122,10.865833686656309,0.0,-260.8717262893196,0.0,0.0,0.0,0.0,-0.0,2.382123779771406,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2313,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3606.1524074410318,0.0,115.64999999999557,0.0,0.8962581824140698,0.0,1.5707963267948966,734.4074614812129,10.865833686656309,0.0,-260.75247486164074,0.0,0.0,0.0,0.0,-0.0,2.3879333273824868,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2314,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3593.1177722069283,0.0,115.69999999999557,0.0,0.8962455330433612,0.0,1.5707963267948966,734.7563778008972,10.865833686656309,0.0,-260.6329345025034,0.0,0.0,0.0,0.0,-0.0,2.3936810381100386,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2315,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3580.089121184115,0.0,115.74999999999557,0.0,0.8962328530247919,0.0,1.5707963267948966,735.1061316968917,10.865833686656309,0.0,-260.513106410038,0.0,0.0,0.0,0.0,-0.0,2.3994426605072587,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2316,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3567.0664687715143,0.0,115.79999999999556,0.0,0.8962201424854515,0.0,1.5707963267948966,735.4562280603247,10.865833686656309,0.0,-260.39299009397945,0.0,0.0,0.0,0.0,-0.0,2.4052099818341386,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2317,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3554.0498293451437,0.0,115.84999999999556,0.0,0.896207401373336,0.0,1.5707963267948966,735.8025880859491,10.865833686656309,0.0,-260.272586960844,0.0,0.0,0.0,0.0,-0.0,2.410915343583798,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2318,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3541.0392171684603,0.0,115.89999999999556,0.0,0.896194629837639,0.0,1.5707963267948966,736.1452168517372,10.865833686656309,0.0,-260.1519001065036,0.0,0.0,0.0,0.0,-0.0,2.4165588300333107,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2319,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3528.034646350334,0.0,115.94999999999555,0.0,0.8961818282067492,0.0,1.5707963267948966,736.4841292149439,10.865833686656309,0.0,-260.0309326185609,0.0,0.0,0.0,0.0,-0.0,2.4221406876765275,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2320,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3515.036130845563,0.0,115.99999999999555,0.0,0.8961689968081784,0.0,1.5707963267948966,736.8193400907795,10.865833686656309,0.0,-259.9096875722698,0.0,0.0,0.0,0.0,-0.0,2.4276611639681813,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2321,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3502.043684455494,0.0,116.04999999999555,0.0,0.8961561359681282,0.0,1.5707963267948966,737.1508644280821,10.865833686656309,0.0,-259.78816803049756,0.0,0.0,0.0,0.0,-0.0,2.4331205069203525,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2322,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3489.057320828639,0.0,116.09999999999555,0.0,0.8961432460114866,0.0,1.5707963267948966,737.4787172081565,10.865833686656309,0.0,-259.6663770436975,0.0,0.0,0.0,0.0,-0.0,2.438518965083194,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2323,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3476.0770535346483,0.0,116.14999999999554,0.0,0.896130326176736,0.0,1.5707963267948966,737.8099883821949,10.865833686656309,0.0,-259.54431471593426,0.0,0.0,0.0,0.0,-0.0,2.4439741454447255,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2324,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3463.102896151555,0.0,116.19999999999554,0.0,0.8961173710151403,0.0,1.5707963267948966,738.1388985090778,10.865833686656309,0.0,-259.4219806078075,0.0,0.0,0.0,0.0,-0.0,2.4493901796270334,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2325,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3450.134862205734,0.0,116.24999999999554,0.0,0.8961043870079656,0.0,1.5707963267948966,738.4641251408765,10.865833686656309,0.0,-259.2993772250387,0.0,0.0,0.0,0.0,-0.0,2.4547451311231567,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2326,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3437.1729650846883,0.0,116.29999999999553,0.0,0.896091374421158,0.0,1.5707963267948966,738.7856802798029,10.865833686656309,0.0,-259.17650761678397,0.0,0.0,0.0,0.0,-0.0,2.460039199065714,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2327,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3424.217218023746,0.0,116.34999999999553,0.0,0.8960783335783419,0.0,1.5707963267948966,739.1035791650255,10.865833686656309,0.0,-259.0533748209003,0.0,0.0,0.0,0.0,-0.0,2.4652726362809907,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2328,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3411.267634106659,0.0,116.39999999999553,0.0,0.8960652648019419,0.0,1.5707963267948966,739.4178370719741,10.865833686656309,0.0,-258.92998186258836,0.0,0.0,0.0,0.0,-0.0,2.4704456961963084,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2329,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3398.324226266235,0.0,116.44999999999553,0.0,0.8960521684130397,0.0,1.5707963267948966,739.7284693035601,10.865833686656309,0.0,-258.8063317543661,0.0,0.0,0.0,0.0,-0.0,2.4755586326943857,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
2330,0.0,0.3812573223388179,0.0,0.0,0.0,0.0,0.0,3.141592653589793,3385.387007296472,0.0,116.49999999999552,0.0,0.8960390447313707,0.0,1.5707963267948966,740.0366001297525,10.865833686656309,0.0,-258.68242703617324,0.0,0.0,0.0,0.0,-0.0,2.480630095020859,0.0,-0.0,3.141592653589793,60.285140022428536,0.0,0.0,-0.0,1.4939441635633695e-15
