Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
19.7000,216.650,5740.11,0.0922996,295.070,0.0000143226
19.8000,216.650,5650.31,0.0908555,295.070,0.0000143226
19.9000,216.650,5561.91,0.0894341,295.070,0.0000143226
20.0000,216.650,5474.89,0.0880349,295.070,0.0000143226
20.1000,216.750,5389.25,0.0866179,295.138,0.0000143283
20.2000,216.850,5304.99,0.0852243,295.206,0.0000143340
20.3000,216.950,5222.09,0.0838538,295.274,0.0000143396
20.4000,217.050,5140.52,0.0825060,295.342,0.0000143453
20.5000,217.150,5060.26,0.0811804,295.410,0.0000143509
20.6000,217.250,4981.29,0.0798768,295.478,0.0000143566
20.7000,217.350,4903.59,0.0785946,295.546,0.0000143622
20.8000,217.450,4827.14,0.0773336,295.614,0.0000143679
20.9000,217.550,4751.91,0.0760934,295.682,0.0000143736
21.0000,217.650,4677.89,0.0748737,295.750,0.0000143792
21.1000,217.750,4605.05,0.0736740,295.818,0.0000143849
21.2000,217.850,4533.38,0.0724941,295.886,0.0000143905
21.3000,217.950,4462.86,0.0713336,295.954,0.0000143962
21.4000,218.050,4393.47,0.0701923,296.021,0.0000144018
21.5000,218.150,4325.18,0.0690697,296.089,0.0000144074
21.6000,218.250,4257.99,0.0679655,296.157,0.0000144131
21.7000,218.350,4191.87,0.0668795,296.225,0.0000144187
21.8000,218.450,4126.81,0.0658114,296.293,0.0000144244
21.9000,218.550,4062.79,0.0647607,296.361,0.0000144300
22.0000,218.650,3999.79,0.0637273,296.428,0.0000144357
22.1000,218.750,3937.79,0.0627109,296.496,0.0000144413
22.2000,218.850,3876.79,0.0617111,296.564,0.0000144469
22.3000,218.950,3816.75,0.0607278,296.632,0.0000144526
22.4000,219.050,3757.68,0.0597605,296.699,0.0000144582
22.5000,219.150,3699.54,0.0588091,296.767,0.0000144639
22.6000,219.250,3642.33,0.0578732,296.835,0.0000144695
22.7000,219.350,3586.03,0.0569526,296.903,0.0000144751
22.8000,219.450,3530.62,0.0560471,296.970,0.0000144808
22.9000,219.550,3476.09,0.0551564,297.038,0.0000144864
23.0000,219.650,3422.43,0.0542803,297.105,0.0000144920
23.1000,219.750,3369.63,0.0534184,297.173,0.0000144976
23.2000,219.850,3317.66,0.0525706,297.241,0.0000145033
23.3000,219.950,3266.51,0.0517367,297.308,0.0000145089
23.4000,220.050,3216.18,0.0509164,297.376,0.0000145145
23.5000,220.150,3166.65,0.0501094,297.443,0.0000145202
23.6000,220.250,3117.90,0.0493155,297.511,0.0000145258
23.7000,220.350,3069.92,0.0485346,297.579,0.0000145314
23.8000,220.450,3022.70,0.0477665,297.646,0.0000145370
23.9000,220.550,2976.23,0.0470108,297.714,0.0000145426
24.0000,220.650,2930.49,0.0462674,297.781,0.0000145483
24.1000,220.750,2885.48,0.0455360,297.849,0.0000145539
24.2000,220.850,2841.18,0.0448166,297.916,0.0000145595
24.3000,220.950,2797.58,0.0441089,297.983,0.0000145651
24.4000,221.050,2754.66,0.0434126,298.051,0.0000145707
24.5000,221.150,2712.42,0.0427276,298.118,0.0000145763
24.6000,221.250,2670.85,0.0420538,298.186,0.0000145820
24.7000,221.350,2629.94,0.0413909,298.253,0.0000145876
24.8000,221.450,2589.67,0.0407387,298.320,0.0000145932
24.9000,221.550,2550.03,0.0400971,298.388,0.0000145988
25.0000,221.650,2511.02,0.0394658,298.455,0.0000146044
25.1000,221.750,2472.63,0.0388448,298.522,0.0000146100
25.2000,221.850,2434.83,0.0382338,298.590,0.0000146156
25.3000,221.950,2397.63,0.0376327,298.657,0.0000146212
25.4000,222.050,2361.02,0.0370414,298.724,0.0000146268
25.5000,222.150,2324.98,0.0364595,298.791,0.0000146324
25.6000,222.250,2289.51,0.0358871,298.859,0.0000146380
25.7000,222.350,2254.59,0.0353239,298.926,0.0000146436
25.8000,222.450,2220.22,0.0347698,298.993,0.0000146492
25.9000,222.550,2186.39,0.0342246,299.060,0.0000146548
26.0000,222.650,2153.09,0.0336882,299.128,0.0000146604
26.1000,222.750,2120.32,0.0331605,299.195,0.0000146660
26.2000,222.850,2088.05,0.0326413,299.262,0.0000146716
26.3000,222.950,2056.29,0.0321304,299.329,0.0000146772
26.4000,223.050,2025.03,0.0316277,299.396,0.0000146828
26.5000,223.150,1994.26,0.0311331,299.463,0.0000146884
26.6000,223.250,1963.97,0.0306465,299.530,0.0000146940
26.7000,223.350,1934.15,0.0301677,299.597,0.0000146996
26.8000,223.450,1904.80,0.0296966,299.664,0.0000147052
26.9000,223.550,1875.90,0.0292330,299.732,0.0000147108
27.0000,223.650,1847.46,0.0287769,299.799,0.0000147164
27.1000,223.750,1819.46,0.0283281,299.866,0.0000147220
27.2000,223.850,1791.89,0.0278865,299.933,0.0000147275
27.3000,223.950,1764.76,0.0274519,300.000,0.0000147331
27.4000,224.050,1738.05,0.0270244,300.067,0.0000147387
27.5000,224.150,1711.75,0.0266036,300.133,0.0000147443
27.6000,224.250,1685.87,0.0261896,300.200,0.0000147499
27.7000,224.350,1660.39,0.0257823,300.267,0.0000147555
27.8000,224.450,1635.30,0.0253814,300.334,0.0000147610
27.9000,224.550,1610.60,0.0249870,300.401,0.0000147666
28.0000,224.650,1586.29,0.0245988,300.468,0.0000147722
28.1000,224.750,1562.35,0.0242169,300.535,0.0000147778
28.2000,224.850,1538.79,0.0238410,300.602,0.0000147833
28.3000,224.950,1515.59,0.0234712,300.669,0.0000147889
28.4000,225.050,1492.75,0.0231072,300.735,0.0000147945
28.5000,225.150,1470.27,0.0227490,300.802,0.0000148001
28.6000,225.250,1448.13,0.0223966,300.869,0.0000148056
28.7000,225.350,1426.34,0.0220498,300.936,0.0000148112
28.8000,225.450,1404.89,0.0217084,301.003,0.0000148168
28.9000,225.550,1383.76,0.0213726,301.069,0.0000148223
29.0000,225.650,1362.96,0.0210420,301.136,0.0000148279
29.1000,225.750,1342.49,0.0207167,301.203,0.0000148335
29.2000,225.850,1322.33,0.0203966,301.269,0.0000148390
29.3000,225.950,1302.48,0.0200816,301.336,0.0000148446
29.4000,226.050,1282.94,0.0197716,301.403,0.0000148502
29.5000,226.150,1263.70,0.0194664,301.469,0.0000148557
29.6000,226.250,1244.76,0.0191662,301.536,0.0000148613
29.7000,226.350,1226.11,0.0188707,301.603,0.0000148669
29.8000,226.450,1207.75,0.0185798,301.669,0.0000148724
29.9000,226.550,1189.67,0.0182936,301.736,0.0000148780
30.0000,226.650,1171.87,0.0180119,301.803,0.0000148835
30.1000,226.750,1154.34,0.0177347,301.869,0.0000148891
30.2000,226.850,1137.08,0.0174619,301.936,0.0000148946
30.3000,226.950,1120.09,0.0171934,302.002,0.0000149002
30.4000,227.050,1103.36,0.0169291,302.069,0.0000149058
30.5000,227.150,1086.88,0.0166690,302.135,0.0000149113
30.6000,227.250,1070.66,0.0164130,302.202,0.0000149169
30.7000,227.350,1054.69,0.0161610,302.268,0.0000149224
