index,speed
69825,0.45066836
69826,0.53833836
69827,0.5361578
69828,0.62287074
69829,0.5991827
69830,0.5425215
69831,0.45043227
69832,0.4652242
69833,0.41245574
69834,0.27648586
69835,0.18784206
69836,0.4711277
69837,0.46653277
69838,0.24895634
69839,0.2642803
69840,0.24362142
69841,0.21670616
69842,0.27253333
69843,0.36612457
69844,0.507703
69845,0.41567653
69846,0.21815625
69847,0.18149883
69848,0.055838756
69849,0.14825489
69850,0.30378073
69851,0.37740022
69852,0.37838474
69853,0.2258113
69854,0.28711125
69855,0.34911954
69856,0.08668856
69857,-0.0889455
69858,-0.05607716
69859,-0.24913797
69860,-0.30974144
69861,-0.2840336
69862,-0.07287139
69863,0.099525675
69864,0.0777788
69865,0.04178565
69866,0.071186334
69867,0.14681853
69868,0.16173747
69869,0.16212504
69870,0.1811858
69871,0.11875118
69872,0.2520981
69873,0.27639753
69874,0.25671688
69875,0.30374375
69876,0.11964618
69877,0.14334287
69878,0.1848631
69879,0.20766528
69880,0.16441435
69881,0.14488503
69882,0.18345618
69883,0.16746777
69884,0.058283377
69885,-0.006852324
69886,-0.01422354
69887,0.070587076
69888,0.062317256
69889,0.038519256
69890,0.014055543
69891,0.0382545
69892,0.05034053
69893,0.04836741
69894,0.055068586
69895,0.029690469
69896,-0.01863611
69897,-0.038410146
69898,0.012899627
69899,0.101119176
69900,0.14099379
69901,0.08540793
69902,0.104004264
69903,0.1373325
69904,0.16444373
69905,0.089652106
69906,0.03927334
69907,0.22224486
69908,0.26218566
69909,0.29535306
69910,0.30443645
69911,0.199345
69912,0.29055077
69913,0.25550285
69914,0.25938568
69915,0.34185672
69916,0.30104977
69917,0.30679166
69918,0.17148392
69919,0.19385453
69920,0.1906425
69921,0.35917702
69922,0.22269851
69923,0.26180384
69924,0.18294562
69925,0.3082583
69926,0.29447165
69927,0.21585014
69928,0.25928587
69929,0.49907377
69930,0.419856
69931,0.43059674
69932,0.60724336
69933,0.7349974
69934,0.92937213
69935,0.95925766
69936,0.96216583
69937,0.8298362
69938,0.5444115
69939,0.9003081
69940,0.9074388
69941,1.0502009
69942,0.8973923
69943,1.0774995
69944,1.375159
69945,1.443414
69946,1.1479962
69947,1.1239007
69948,1.2934449
69949,1.1301388
69950,0.95406485
69951,1.0369956
69952,0.9251613
69953,1.0396085
69954,0.8187879
69955,0.6393605
69956,0.6459672
69957,0.68144983
69958,0.8235474
69959,0.87466913
69960,0.9241944
69961,0.9427887
69962,0.5579179
69963,0.6450367
69964,0.6294367
69965,0.82926786
69966,1.0540264
69967,1.4976063
69968,1.4702547
69969,1.5408086
69970,1.4913915
69971,1.1508961
69972,1.4404835
69973,1.6352693
69974,1.3162758
69975,1.3811444
69976,1.2568562
69977,1.2547913
69978,1.365942
69979,1.2642226
69980,1.405208
69981,1.399582
69982,1.5146083
69983,1.1115445
69984,1.196552
69985,1.4917343
69986,1.2890224
69987,0.88364863
69988,1.4183761
69989,1.4711914
69990,1.3607693
69991,1.510157
69992,1.5553408
69993,1.5386788
69994,1.3668354
69995,1.5846044
69996,1.4928571
69997,1.471872
69998,1.5003085
69999,1.3778344
70000,1.4588106
70001,1.5341233
70002,1.5102205
70003,1.4904999
70004,1.2334532
70005,1.3289999
70006,1.311214
70007,1.4267437
70008,1.1817085
70009,1.289108
70010,1.3690723
70011,1.4326385
70012,1.3021666
70013,1.0668197
70014,0.913525
70015,0.8134022
70016,1.0933082
70017,0.75787765
70018,0.94375753
70019,0.8298193
70020,1.0087397
70021,1.2681903
70022,1.2417876
70023,1.1361958
70024,0.6374073
70025,0.7264661
70026,1.0059937
70027,0.64647686
70028,0.9734109
70029,0.9943831
70030,0.92883015
70031,0.8368781
70032,0.8706822
70033,0.5439557
70034,0.58700967
70035,0.729826
70036,0.6336393
70037,0.77436876
70038,0.787808
70039,0.6602026
70040,0.68327826
70041,0.79870373
70042,0.9311554
70043,0.7388633
70044,0.55676776
70045,0.7754472
70046,0.7104945
70047,0.76809686
70048,0.87211394
70049,0.9341368
70050,0.8497445
70051,0.76952153
70052,0.6054333
70053,0.64507663
70054,0.6872723
70055,0.53240997
70056,0.4164354
70057,0.36930606
70058,0.31113705
70059,0.40047932
70060,0.43978813
70061,0.49090004
70062,0.4407457
70063,0.4510206
70064,0.5083649
70065,0.6551274
70066,0.8204732
70067,0.83332634
70068,0.9726421
70069,0.92757124
70070,0.9283146
70071,0.675755
70072,0.5971538
70073,0.56938326
70074,0.6110356
70075,0.67017895
70076,0.49170005
70077,0.6186994
70078,0.5178021
70079,0.5297988
70080,0.44938684
70081,0.32859582
70082,0.30374485
70083,0.49431387
70084,0.68405074
70085,0.5828447
70086,0.82089376
70087,0.8952244
70088,0.9171162
70089,0.5667569
70090,0.5619993
70091,0.70636415
70092,0.7012401
70093,0.6374644
70094,0.5768238
70095,0.72730255
70096,0.6326948
70097,0.7618903
70098,0.80573434
70099,0.7743565
70100,0.7286577
70101,0.5831769
70102,0.6850669
70103,0.5830094
70104,0.46949193
70105,0.57520837
70106,0.65258217
70107,0.7791904
70108,0.6475261
70109,0.42749766
70110,0.45324057
70111,0.4950326
70112,0.46760765
70113,0.58129615
70114,1.0510687
70115,1.2007682
70116,0.8127791
70117,0.9716902
70118,0.9118165
70119,0.69607025
70120,0.5639087
70121,0.51571625
70122,0.4840627
70123,0.66209424
70124,1.106162
70125,0.8014394
70126,1.273061
70127,1.3078755
70128,1.2785168
70129,1.418202
70130,1.4000077
70131,1.3838488
70132,1.4226509
70133,1.3578548
70134,0.9369437
70135,1.0659744
70136,1.3086455
70137,1.3985267
70138,1.0855393
70139,0.8913987
70140,1.232398
70141,1.0554544
70142,1.0026838
70143,1.0800102
70144,1.2299472
70145,0.864234
70146,0.6932878
70147,0.8914314
70148,0.763033
70149,0.7018486
70150,0.925673
70151,0.77123445
70152,0.7453405
70153,0.8920379
70154,1.1453
70155,0.95499766
70156,0.90197736
70157,0.90018433
70158,0.8156939
70159,0.68870777
70160,0.64184004
70161,0.62103987
70162,0.5270333
70163,0.48351517
70164,0.51073027
70165,0.5739247
70166,0.48488054
70167,0.8456049
70168,0.9241455
70169,0.9620258
70170,0.9442354
70171,1.0177863
70172,1.1813782
70173,1.2203401
70174,1.3973657
70175,1.7059441
70176,1.690226
70177,1.6626306
70178,1.6100551
70179,1.6667325
70180,1.5172048
70181,1.516474
70182,1.5631452
70183,1.38959
70184,1.2376201
70185,1.1404481
70186,0.9175476
70187,0.7488225
70188,0.93649536
70189,0.88921976
70190,0.9836799
70191,1.1288164
70192,0.9290393
70193,0.87120163
70194,0.93183446
70195,0.81728
70196,0.6309506
70197,0.9584167
70198,0.83131963
70199,0.70837677
70200,0.7005304
70201,0.72778744
70202,0.9378869
70203,0.97800666
70204,0.8474266
70205,0.7416956
70206,0.9163854
70207,0.67615443
70208,0.69420046
70209,0.738152
70210,0.7961321
70211,0.99185896
70212,1.0635915
70213,1.1242081
70214,1.1333455
70215,1.1270921
70216,1.0218498
70217,1.0457873
70218,0.9728244
70219,0.9820917
70220,0.96833116
70221,1.1128582
70222,0.87942845
70223,0.91622055
70224,1.1258576
70225,1.0926052
70226,1.1215699
70227,1.2396955
70228,1.1551692
70229,1.2833129
70230,1.2385335
70231,1.0778669
70232,1.0704753
70233,0.89204216
70234,1.15961
70235,1.0853666
70236,0.8396959
70237,0.9747158
70238,1.1581262
70239,0.97021055
70240,1.0449607
70241,0.87647283
70242,0.83181447
70243,0.6950466
70244,0.7020439
70245,0.7008404
70246,0.8532082
70247,0.8563074
70248,0.8079974
70249,0.6790958
70250,0.7364183
70251,0.833925
70252,0.6636686
70253,0.6306683
70254,0.64403045
70255,0.86329573
70256,0.9229359
70257,0.8786755
70258,0.89685327
70259,0.94173265
70260,0.86961377
70261,0.9438705
70262,0.73709196
70263,0.601536
70264,0.5221259
70265,0.4239443
70266,0.39911905
70267,0.3301319
70268,0.19831431
70269,0.16608599
70270,0.10347004
70271,0.14968425
70272,0.026946772
70273,0.08635708
70274,0.42062077
70275,0.44677544
70276,0.3068231
70277,0.21071084
70278,0.39667872
70279,0.60222435
70280,0.33131483
70281,0.16221856
70282,-0.017010443
70283,0.08009472
70284,0.10248851
70285,0.15925285
70286,0.2329384
70287,0.11051081
70288,0.080939785
70289,0.1092307
70290,0.029378178
70291,-0.1588101
70292,-0.20633973
70293,-0.28150845
70294,-0.34953526
70295,-0.25990507
70296,-0.31074566
70297,-0.1790728
70298,-0.17191724
70299,-0.21387766
70300,-0.12655267
70301,-0.12391829
70302,-0.19919793
70303,-0.23420598
70304,-0.26014456
70305,-0.40336925
70306,-0.25956365
70307,-0.29530296
70308,0.09661512
70309,0.08463398
70310,-0.012948186
70311,-0.00690984
70312,-0.14923833
70313,-0.008429527
70314,-0.065833844
70315,-0.09840335
70316,-0.24525605
70317,-0.2690199
70318,-0.22259556
70319,-0.16698007
70320,-0.16027571
70321,-0.23707877
70322,-0.30145642
70323,-0.35649168
70324,-0.3058433
70325,-0.32370794
70326,-0.3407766
70327,-0.43230057
70328,-0.50670594
70329,-0.6584758
70330,-0.4754917
70331,-0.2774782
70332,-0.22063409
70333,-0.0221284
70334,-0.1761801
70335,-0.40509567
70336,-0.36214018
70337,-0.30395412
70338,-0.31020245
70339,-0.29586157
70340,-0.15940784
70341,-0.18540066
70342,-0.2389719
70343,-0.38622874
70344,-0.39538777
70345,-0.49145988
70346,-0.49555174
70347,-0.41687155
70348,-0.48065096
70349,-0.49492547
70350,-0.5677048
70351,-0.4282006
70352,-0.30099127
70353,0.16852643
70354,0.3965516
70355,-0.051446814
70356,-0.28941026
70357,-0.100013725
70358,-0.047229294
70359,0.2938979
70360,0.4562238
70361,0.24226126
70362,0.19282806
70363,-0.08621554
70364,-0.06277209
70365,0.011201179
70366,0.08702555
70367,0.07685254
70368,0.08458987
70369,0.19105901
70370,0.17690673
70371,0.025399482
70372,-0.036827605
70373,0.044145294
70374,0.17921214
70375,0.10897625
70376,0.01757607
70377,-0.11964115
70378,-0.33315298
70379,-0.59975207
70380,-0.53802896
70381,-0.38571498
70382,-0.4905043
70383,-0.47332624
70384,-0.34872073
70385,-0.3892065
70386,-0.54119056
70387,-0.50897336
70388,-0.6308849
70389,-0.5976016
70390,-0.59511954
70391,-0.47228166
70392,-0.65309614
70393,-0.6371249
70394,-0.7211437
70395,-0.7211778
70396,-0.60498416
70397,-0.6093872
70398,-0.5229985
70399,-0.47971815
70400,-0.4483852
70401,-0.48618463
70402,-0.48329365
70403,-0.4935193
70404,-0.49497256
70405,-0.46085536
70406,-0.47779205
70407,-0.42562088
70408,-0.4006101
70409,-0.36050627
70410,-0.35002157
70411,-0.4550154
70412,-0.48156506
70413,-0.45030528
70414,-0.24326074
70415,-0.5249061
70416,-0.7888554
70417,-0.7169325
70418,-0.48735234
70419,-0.4532224
70420,-0.5944724
70421,-0.40898222
70422,-0.42099613
70423,-0.38412282
70424,-0.35683808
70425,-0.31557652
70426,-0.31837353
70427,-0.76848304
70428,-0.75045514
70429,-0.8348243
70430,-0.8639452
70431,-1.0350169
70432,-0.79386246
70433,-0.9334543
70434,-0.61804634
70435,-0.3702905
70436,-0.2729732
70437,0.17095983
70438,-0.024983456
70439,-0.06864975
70440,-0.16978228
70441,-0.12601285
70442,-0.22563007
70443,-0.62770057
70444,-0.755382
70445,-0.6663459
70446,-0.48157248
70447,-0.5094441
70448,-0.49834952
70449,-0.5469308
70450,-0.47770816
70451,-0.4330547
70452,-0.35650328
70453,-0.39562276
70454,-0.27709994
70455,-0.54992294
70456,-0.56419224
70457,-0.8150482
70458,-0.81848824
70459,-0.8071489
70460,-0.81219286
70461,-0.7798146
70462,-0.81771356
70463,-0.6159622
70464,-0.84209764
70465,-0.7855577
70466,-0.8379595
70467,-0.6121639
70468,-0.66524374
70469,-0.8162395
70470,-0.8512953
70471,-0.8411722
70472,-0.79001206
70473,-0.790919
70474,-0.7633864
70475,-0.84008396
70476,-0.8053624
70477,-0.7851976
70478,-0.75640565
70479,-0.79923373
70480,-0.86613435
70481,-0.9143362
70482,-0.82676274
70483,-0.8490744
70484,-0.9262005
70485,-0.91553134
70486,-0.8324867
70487,-0.84850925
70488,-0.92137265
70489,-0.879816
70490,-0.8811751
70491,-0.7898662
70492,-0.9650971
70493,-0.9339081
70494,-0.915407
70495,-0.71544796
70496,-0.87767625
70497,-0.8867034
70498,-0.74553066
70499,-0.6866465
70500,-0.8097019
70501,-1.1429986
70502,-1.1430192
70503,-1.078385
70504,-1.0748525
70505,-1.138048
70506,-1.1574526
70507,-1.0266135
70508,-0.9782181
70509,-0.88264906
70510,-0.6412863
70511,-0.60070026
70512,-0.74303895
70513,-0.6960953
70514,-0.7692172
70515,-0.50648487
70516,-0.6614788
70517,-0.5186592
70518,-0.396432
70519,-0.46508136
70520,-0.46859366
70521,-0.4870671
70522,-0.37820223
70523,-0.4221314
70524,-0.36315954
70525,-0.40618834
70526,-0.32386646
70527,-0.27949056
70528,-0.35341224
70529,-0.32047668
70530,-0.22581583
70531,-0.17170219
70532,-0.19341263
70533,-0.23544231
70534,-0.047311272
70535,-0.055721905
70536,-0.27890366
70537,-0.46815324
70538,-0.35960904
70539,-0.38492933
70540,-0.07858084
70541,-0.14020959
70542,0.15253669
70543,0.48888573
70544,0.10727549
70545,-0.1534749
70546,0.051439505
70547,0.08148656
70548,0.055965167
70549,-0.021203302
70550,0.015573529
70551,-0.097981185
70552,-0.059396505
70553,-0.011469677
70554,-0.14032768
70555,-0.038118105
70556,-0.31846753
70557,-0.80775476
70558,-0.68029195
70559,-0.34431347
70560,-0.036270015
70561,-0.161024
70562,-0.4048198
70563,-0.19078654
70564,-0.16751766
70565,-0.5921815
70566,-0.65098673
70567,-1.0173972
70568,-0.7505988
70569,-1.1246498
70570,-1.3460035
70571,-1.3531368
70572,-1.2639147
70573,-1.0410156
70574,-1.2874781
70575,-1.3329597
70576,-1.3014921
70577,-1.1759181
70578,-1.6639644
70579,-1.1702158
70580,-1.1398345
70581,-1.0458068
70582,-1.2451082
70583,-1.2513267
70584,-1.2928599
70585,-1.1590067
70586,-1.341077
70587,-1.2580976
70588,-1.3840748
70589,-1.5709057
70590,-1.2310269
70591,-0.7969616
70592,-0.7676641
70593,-0.99549264
70594,-0.9971779
70595,-1.4442235
70596,-1.5456349
70597,-1.2813337
70598,-1.4961923
70599,-1.223461
70600,-1.4974277
70601,-1.3573388
70602,-1.3234583
70603,-1.2684269
70604,-1.1548164
70605,-1.2523701
70606,-1.2401776
70607,-1.2273221
70608,-1.4877821
70609,-1.577571
70610,-1.4002825
70611,-1.4566871
70612,-1.4186825
70613,-1.1903317
70614,-1.1260827
70615,-1.178923
70616,-1.4168742
70617,-1.3251314
70618,-1.466255
70619,-1.3173497
70620,-1.4875184
70621,-1.1747149
70622,-1.0878553
70623,-1.2852033
70624,-1.674114
70625,-1.4363892
70626,-1.1593106
70627,-0.5440552
70628,-0.7084078
70629,-0.82853496
70630,-0.89379865
70631,-0.989851
70632,-0.9686253
70633,-0.81375325
70634,-0.8269731
70635,-0.41423512
70636,-0.3721542
70637,-0.61763555
70638,-0.34201574
70639,-0.45240387
70640,-0.66706663
70641,-1.1415427
70642,-1.3070618
70643,-1.1256436
70644,-0.9708379
70645,-1.2693508
70646,-1.1346047
70647,-1.2137169
70648,-1.2711717
70649,-1.1525207
70650,-1.0966547
70651,-1.1823183
70652,-1.3353958
70653,-1.2763346
70654,-1.1633599
70655,-0.86221874
70656,-0.7268617
70657,-0.7502389
70658,-0.7216237
70659,-0.95235234
70660,-1.0514367
70661,-0.93575084
70662,-0.8561953
70663,-0.7210858
70664,-0.9363193
70665,-0.9752166
70666,-1.1115268
70667,-1.2792729
70668,-1.2517278
70669,-1.3269794
70670,-1.6691518
70671,-1.470933
70672,-1.5589674
70673,-1.6980438
70674,-1.3575847
70675,-1.2378329
70676,-1.1579379
70677,-1.3054829
70678,-1.0632693
70679,-1.2892466
70680,-1.3268008
70681,-1.482567
70682,-1.4112816
70683,-1.4452516
70684,-1.5120254
70685,-1.477611
70686,-1.4953369
70687,-1.2994846
70688,-1.203074
70689,-1.1749194
70690,-1.1590255
70691,-1.2987117
70692,-1.2722875
70693,-1.276558
70694,-1.3098997
70695,-1.3243222
70696,-1.2653224
70697,-1.2337115
70698,-1.1708697
70699,-1.1105205
70700,-1.1216004
70701,-1.2813007
70702,-1.1606134
70703,-1.0457537
70704,-0.93073744
70705,-1.00613
70706,-1.0224109
70707,-1.026443
70708,-1.0229186
70709,-0.95585877
70710,-0.8855192
70711,-0.8398411
70712,-1.1640201
70713,-1.0179782
70714,-0.9207841
70715,-0.932352
70716,-0.97919583
70717,-0.88461
70718,-0.80507284
70719,-0.6893136
70720,-0.7283949
70721,-0.787697
70722,-0.7451979
70723,-0.87174
70724,-0.8503967
70725,-0.78725976
70726,-0.78128445
70727,-0.748149
70728,-0.8121171
70729,-0.7777065
70730,-0.82617044
70731,-0.9591311
70732,-0.9502213
70733,-0.9137211
70734,-0.8594313
70735,-0.844105
70736,-0.9058889
70737,-0.8941746
70738,-1.0731627
70739,-1.1797404
70740,-1.1518064
70741,-0.932683
70742,-1.0368853
70743,-1.0602782
70744,-0.9879504
70745,-1.27046
70746,-1.2709793
70747,-1.1631007
70748,-1.0844454
70749,-1.4165306
70750,-1.3914641
70751,-1.484632
70752,-1.0991036
70753,-1.0545071
70754,-0.8857237
70755,-0.8659541
70756,-0.75443065
70757,-0.6883598
70758,-0.66804296
70759,-0.69234
70760,-0.85743564
70761,-1.1347758
70762,-1.1281722
70763,-0.96281165
70764,-0.9546633
70765,-0.63133216
70766,-0.59077185
70767,-0.6858331
70768,-0.8579476
70769,-0.84587646
70770,-0.83100396
70771,-0.8686795
70772,-0.9470888
70773,-0.9461233
70774,-0.94368887
70775,-1.0355583
70776,-0.9372259
70777,-0.6328543
70778,-0.72552705
70779,-0.88807935
70780,-0.8698471
70781,-0.9363314
70782,-0.94356287
70783,-1.0716281
70784,-1.0696822
70785,-0.78590983
70786,-0.67105293
70787,-0.86045593
70788,-0.9063174
70789,-0.90017617
70790,-0.8358681
70791,-0.67180526
70792,-0.47853544
70793,-0.5647907
70794,-0.66063094
70795,-0.39353836
70796,-0.49453914
70797,-0.608782
70798,-0.5574144
70799,-0.5504282
70800,-0.40862122
70801,-0.49815091
70802,-0.7030157
70803,-0.35395402
70804,-0.320566
70805,-0.40839475
70806,-0.05077229
70807,0.11267604
70808,0.29156378
70809,0.23626484
70810,-0.14407283
70811,0.070997335
70812,-0.11939556
70813,-0.19344655
70814,-0.27804306
70815,-0.44842505
70816,-0.6565237
70817,-0.3023093
70818,-0.07635077
70819,0.074205324
70820,-0.4293508
70821,-0.43070024
70822,-0.42817634
70823,-0.42486534
70824,-0.65928936
70825,-1.0327473
70826,-1.979414
70827,-1.9962476
70828,-1.6969537
70829,-1.7705505
70830,-1.5262132
70831,-1.1342537
70832,-0.6587686
70833,-1.1662716
70834,-1.2513318
70835,-1.5612884
70836,-0.6628347
70837,-0.55453837
70838,-0.3833439
70839,-0.6978169
70840,-0.5099476
70841,-1.066582
70842,-1.2833099
70843,-1.532449
70844,-1.2507406
70845,-1.6552987
70846,-1.7605822
70847,-1.6868465
70848,-1.6012399
