,index,Magnitude,U,V,Direction
10528,79911,1.5727438999999999,0.15022193,-1.5613708,3.0456763155689046
10529,79912,1.3126935,0.12284599,-1.3046872999999999,3.0477120174428842
10530,79913,1.2783917,-0.0049331390000000004,-1.2715478,-3.137713039901849
10531,79914,1.4455343,0.15787839999999997,-1.4331316,3.031871855334022
10532,79915,1.5420306000000001,-0.20619242,-1.5243106000000002,-3.007139460285587
10533,79916,1.6742113,-0.43912690000000004,-1.613636,-2.8758919177684548
10534,79917,1.831854,-0.67511445,-1.6992026999999998,-2.763405243261219
10535,79918,1.8878348000000003,-0.37178459999999997,-1.8447299,-2.9427179433959965
10536,79919,1.8380783,0.042732123,-1.8348325,3.1183074765453815
10537,79920,2.024632,0.06209343,-2.0215662,3.1108868009415938
10538,79921,1.8088101000000003,-0.054170333,-1.8056625,-3.111601395314479
10539,79922,2.0702708,-0.10550073,-2.0629413,-3.0904962415286503
10540,79923,2.6118577000000003,-0.19095771,-2.5996106,-3.068268071979873
10541,79924,2.2443154,-0.16074517,-2.236303,-3.0698361950388566
10542,79925,2.2138497999999998,-0.26791275,-2.1943563999999998,-3.0201022125150985
10543,79926,2.1260817000000003,-0.23879413,-2.1017597,-3.028461494272172
10544,79927,2.4664752,-0.012291963000000001,-2.452891,-3.1365814810148542
10545,79928,2.3217874,0.45343116,-2.2742977000000004,2.944801063943258
10546,79929,2.5932739,0.28641146,-2.551365,3.0298025461580558
10547,79930,2.2912494999999997,-0.1750775,-2.2814305,-3.0650025367786444
10548,79931,1.7862628,0.20488392,-1.7549691000000003,3.0253737164916377
10549,79932,1.7961738,0.29977563,-1.7514076,2.9720726852786674
10550,79933,1.9784686999999999,0.13610049,-1.9716166000000002,3.0726720899842954
10551,79934,1.7873571,0.31786156,-1.7574743000000002,2.9626642083769386
10552,79935,1.9908689,0.21749578,-1.9777521,3.0320615784643152
10553,79936,2.037658,0.11622981,-2.0324605,3.0844681215373395
10554,79937,2.3077824000000002,0.12003634,-2.303915,3.0895386919675016
10555,79938,1.9907631999999997,-0.0077913627,-1.9862654,-3.137670054556138
10556,79939,1.7244084,0.11087496,-1.7001865000000003,3.0764714542893743
10557,79940,1.5476882,0.16942320000000002,-1.536593,3.0317772353361625
10558,79941,1.6495643,0.17220855,-1.6389484,3.036904200046265
10559,79942,1.7892971999999998,0.11411523,-1.7817572,3.0776335567443187
10560,79943,1.7967964,0.3209343,-1.7511269,2.9603312403582756
10561,79944,1.7279746999999999,0.7414592,-1.5593431999999998,2.6977408825347347
10562,79945,1.9688643,0.72359526,-1.8276733,2.7646165720188676
10563,79946,2.079386,1.0556497999999999,-1.7770754,2.605568724518469
10564,79947,2.4344428,1.3022797,-2.0554563999999997,2.5768529103113096
10565,79948,2.341564,1.0296601,-2.099613,2.6856507015369004
10566,79949,2.330459,0.9755841000000001,-2.1113722000000004,2.708753661205457
10567,79950,2.3524969,0.95286167,-2.1430000000000002,2.723205757669245
10568,79951,2.3265672000000004,0.79640186,-2.1819203,2.79161741384792
10569,79952,2.2141826,0.2990775,-2.1900487,3.0058701712622855
10570,79953,2.2248259,0.8168399000000001,-2.0609976999999997,2.7642521047574977
10571,79954,2.632318,0.8008932,-2.5031893,2.8319358685502083
10572,79955,2.2259352000000003,0.9226279000000001,-2.007936,2.710874354876374
10573,79956,2.3941830000000004,1.0432175,-2.1512732999999997,2.690073361440042
10574,79957,2.5268407,0.94681853,-2.3425965,2.7574924786744575
10575,79958,2.4899902000000003,0.8947008,-2.3222902000000003,2.7738516662932993
10576,79959,2.7518387000000004,1.5066757,-2.2967691,2.561012534220325
10577,79960,2.7290962000000003,1.3847702,-2.3460398,2.6083667294405077
10578,79961,2.7424414,1.2830291999999999,-2.4178925,2.653734969568059
10579,79962,2.8271916,1.2025566,-2.5569592,2.7019800893310673
10580,79963,2.7358985000000002,1.1213218,-2.494154,2.7190880397946855
10581,79964,2.7004595,0.95058465,-2.5255187,2.781602291972306
10582,79965,2.5330033,0.7627611999999999,-2.4148959999999997,2.8356526084829206
10583,79966,2.2678412999999997,0.5484124,-2.1974456,2.8970204929906886
10584,79967,1.9916996999999999,0.37473541,-1.9525398,2.9519762966412357
10585,79968,2.0558171,0.45124188,-2.0029447,2.9200029298883208
10586,79969,2.1395112999999997,0.29942557,-2.115493,3.0009872430533813
10587,79970,1.8983691000000003,-0.0014747973,-1.8952099999999998,-3.1408144828317703
10588,79971,2.1353106,0.018908905,-2.1312634999999998,3.132720729079203
10589,79972,2.5815675,-0.17541854,-2.5699186000000003,-3.0734399650840647
10590,79973,2.6655252000000003,-0.15910046,-2.6576293,-3.0817984596649737
10591,79974,2.6917869999999997,0.20853303,-2.6781588,3.063885117577697
10592,79975,2.2314950000000002,0.1805641,-2.2218642,3.060503914234658
10593,79976,2.2293866,0.0548832,-2.2228804,3.116907541530936
10594,79977,2.0885794,-0.27077127,-2.0492527,-3.0102219377756563
10595,79978,2.1861007000000003,-0.56399465,-2.1047722999999996,-2.879783242287107
10596,79979,2.2098215,-0.15786506,-2.200724,-3.0699820746417794
10597,79980,2.0779254000000003,0.26076686,-2.0596883000000004,3.01565765389065
10598,79981,1.6057492,0.05873264,-1.5916198000000001,3.1047082148066423
10599,79982,1.7557049,-0.305648,-1.6944109,-2.9631258570794876
10600,79983,1.7101071,0.1385651,-1.7026276999999999,3.0603885272576226
10601,79984,1.6731598,-0.3901646,-1.6150744,-2.904557229027957
10602,79985,2.2179704,-0.11418714,-2.2138257,-3.090059219844369
10603,79986,2.1494455,-0.0041408,-2.1479527999999997,-3.1396648668756586
10604,79987,2.2536495,-0.17695443,-2.2463352999999997,-3.062980275841044
10605,79988,2.114414,-0.11698966,-2.110981,-3.086229716171292
10606,79989,2.0904436,-0.13105303,-2.0860906000000004,-3.078852794344063
10607,79990,2.2875967,-0.13496508,-2.2821757999999996,-3.082522678656122
10608,79991,2.4569224999999997,0.04539363,-2.4556299999999998,3.123109225508466
10609,79992,2.3912706000000004,-0.19675656,-2.3781316,-3.0590448886302695
10610,79993,2.4245848999999997,-0.31333503,-2.4011972000000004,-3.011834673557826
10611,79994,2.6423473,0.13584162,-2.636458,3.0901138883302
10612,79995,2.4904923,-0.0066139563,-2.4851525000000003,-3.1389312713669555
10613,79996,2.1734202000000002,-0.006011074,-2.1681790000000003,-3.1388202539866144
10614,79997,2.3513017000000005,-0.039879788,-2.332487,-3.1244967800791765
10615,79998,2.5600023,0.23287418,-2.5475116,3.0504335935575644
10616,79999,2.3186362000000003,0.15891773,-2.3110682999999996,3.0729369761026377
