Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
2.99,0,0.8609753614,0.8609753614,0.8189925221,0.8609753614,0.8189925221,0,0,0,0,8.725277046,139.2363391,136.6176562,387468400
3,0,0.8598492369,0.8598492369,0.8181266268,0.8598492369,0.8181266268,0,0,0,0,8.711517155,139.0586096,136.479217,388764300
3.01,0,0.8588501698,0.8588501698,0.8172609958,0.8588501698,0.8172609958,0,0,0,0,8.697781648,138.8810782,136.3407216,390060200
3.02,0,0.8578890986,0.8578890986,0.8164333607,0.8578890986,0.8164333607,0,0,0,0,8.684071526,138.70388,136.2022891,391356100
3.03,0,0.8569316043,0.8569316043,0.8156093025,0.8569316043,0.8156093025,0,0,0,0,8.67037765,138.5268163,136.0637402,392652000
3.04,0,0.8559776326,0.8559776326,0.8147887669,0.8559776326,0.8147887669,0,0,0,0,8.65671195,138.3500564,135.9252273,393947800
3.05,0,0.8550272161,0.8550272161,0.8139717865,0.8550272161,0.8139717865,0,0,0,0,8.64306882,138.1734874,135.7866482,395243700
3.06,0,0.8540802921,0.8540802921,0.8131582986,0.8540802921,0.8131582986,0,0,0,0,8.629450197,137.9971899,135.6480738,396539600
3.07,0,0.853136907,0.853136907,0.8123483497,0.853136907,0.8123483497,0,0,0,0,8.615851933,137.8211249,135.5094677,397835500
3.08,0,0.852197013,0.852197013,0.8115418917,0.852197013,0.8115418917,0,0,0,0,8.602283194,137.6453824,135.3709116,399131400
3.09,0,0.8512606104,0.8512606104,0.8107389252,0.8512606104,0.8107389252,0,0,0,0,8.588734988,137.4698793,135.2323283,400427300
3.1,0,0.8503277049,0.8503277049,0.8099394559,0.8503277049,0.8099394559,0,0,0,0,8.5752114,137.2945938,135.093699,401723100
3.11,0,0.8493982454,0.8493982454,0.8091434325,0.8493982454,0.8091434325,0,0,0,0,8.561717363,137.119635,134.9551211,403019000
3.12,0,0.8484722658,0.8484722658,0.808350889,0.8484722658,0.808350889,0,0,0,0,8.548249042,136.9449675,134.8165614,404314900
3.13,0,0.8475497358,0.8475497358,0.807561795,0.8475497358,0.807561795,0,0,0,0,8.534801439,136.7705456,134.6779772,405610800
3.14,0,0.8466306482,0.8466306482,0.8067761435,0.8466306482,0.8067761435,0,0,0,0,8.52138234,136.5963876,134.539386,406906700
3.15,0,0.8457149743,0.8457149743,0.8059939058,0.8457149743,0.8059939058,0,0,0,0,8.507992131,136.4225574,134.4008442,408202600
3.16,0,0.8448027098,0.8448027098,0.8052150774,0.8448027098,0.8052150774,0,0,0,0,8.494623825,136.2489837,134.2622857,409498400
3.17,0,0.8438938578,0.8438938578,0.8044396614,0.8438938578,0.8044396614,0,0,0,0,8.48128512,136.0757505,134.1237868,410794300
3.18,0,0.8429884172,0.8429884172,0.803667657,0.8429884172,0.803667657,0,0,0,0,8.467971259,135.9028104,133.9853033,412090200
3.19,0,0.8420863559,0.8420863559,0.8028990318,0.8420863559,0.8028990318,0,0,0,0,8.454687474,135.7301524,133.8468257,413386100
3.2,0,0.841187658,0.841187658,0.80213377,0.841187658,0.80213377,0,0,0,0,8.441427472,135.5577833,133.7083581,414682000
3.21,0,0.840292349,0.840292349,0.8013718971,0.840292349,0.8013718971,0,0,0,0,8.428193409,135.3857234,133.5699184,415977900
3.22,0,0.839400353,0.839400353,0.8006133372,0.839400353,0.8006133372,0,0,0,0,8.414989373,135.2139536,133.4314897,417273700
3.23,0,0.8385117248,0.8385117248,0.7998581451,0.8385117248,0.7998581451,0,0,0,0,8.401815294,135.0425909,133.2931768,418569600
3.24,0,0.8376264092,0.8376264092,0.7991062656,0.8376264092,0.7991062656,0,0,0,0,8.388665255,134.8714669,133.1548259,419865500
3.25,0,0.8367444129,0.8367444129,0.7983577054,0.8367444129,0.7983577054,0,0,0,0,8.37554234,134.7006686,133.0165154,421161400
3.26,0,0.8358657439,0.8358657439,0.7976124725,0.8358657439,0.7976124725,0,0,0,0,8.362447331,134.5302112,132.8782588,422457200
3.27,0,0.8349903452,0.8349903452,0.7968705099,0.8349903452,0.7968705099,0,0,0,0,8.349381611,134.3601,132.7400604,423753100
3.28,0,0.8341182527,0.8341182527,0.7961318536,0.8341182527,0.7961318536,0,0,0,0,8.336341888,134.1902542,132.6018458,425049000
3.29,0,0.8332494119,0.8332494119,0.7953964488,0.8332494119,0.7953964488,0,0,0,0,8.323332394,134.020832,132.4637586,426344900
3.3,0,0.8323838553,0.8323838553,0.7946643283,0.8323838553,0.7946643283,0,0,0,0,8.310348211,133.851666,132.3256454,427640800
3.31,0,0.8315215532,0.8315215532,0.7939354623,0.8315215532,0.7939354623,0,0,0,0,8.297393971,133.6828146,132.1875593,428936600
3.32,0,0.8306624703,0.8306624703,0.7932098156,0.8306624703,0.7932098156,0,0,0,0,8.284465282,133.5143361,132.0495521,430232500
3.33,0,0.8298066224,0.8298066224,0.7924874038,0.8298066224,0.7924874038,0,0,0,0,8.271565701,133.3462229,131.9116168,431528400
3.34,0,0.8289540061,0.8289540061,0.7917682235,0.8289540061,0.7917682235,0,0,0,0,8.258695459,133.1784191,131.7737022,432824300
3.35,0,0.828104585,0.828104585,0.7910522385,0.828104585,0.7910522385,0,0,0,0,8.245852415,133.0109616,131.6358408,434120200
3.36,0,0.827258356,0.827258356,0.7903394456,0.827258356,0.7903394456,0,0,0,0,8.233037798,132.8438625,131.4980435,435416000
3.37,0,0.8264153101,0.8264153101,0.7896298359,0.8264153101,0.7896298359,0,0,0,0,8.220249615,132.6771036,131.3602925,436711900
3.38,0,0.8255754523,0.8255754523,0.7889234142,0.8255754523,0.7889234142,0,0,0,0,8.2074908,132.5107168,131.2226172,438007800
3.39,0,0.8247387281,0.8247387281,0.788220126,0.8247387281,0.788220126,0,0,0,0,8.194759432,132.3446325,131.0849528,439303700
3.4,0,0.8239051522,0.8239051522,0.7875199863,0.8239051522,0.7875199863,0,0,0,0,8.18205637,132.1789124,130.9473555,440599600
3.41,0,0.8230747411,0.8230747411,0.7868230113,0.8230747411,0.7868230113,0,0,0,0,8.169383918,132.0135844,130.8098508,441895500
3.42,0,0.8222474382,0.8222474382,0.7861291445,0.8222474382,0.7861291445,0,0,0,0,8.156735931,131.8485842,130.6723783,443191400
3.43,0,0.8214232427,0.8214232427,0.7854383851,0.8214232427,0.7854383851,0,0,0,0,8.144115199,131.6839508,130.5349736,444487200
3.44,0,0.8206021705,0.8206021705,0.784750749,0.8206021705,0.784750749,0,0,0,0,8.131524314,131.5197029,130.397654,445783100
3.45,0,0.8197841604,0.8197841604,0.784066175,0.8197841604,0.784066175,0,0,0,0,8.118963917,131.3557957,130.2603777,447079000
3.46,0,0.8189692541,0.8189692541,0.7833847048,0.8189692541,0.7833847048,0,0,0,0,8.106428011,131.1922304,130.1231444,448374900
3.47,0,0.8181574097,0.8181574097,0.7827062965,0.8181574097,0.7827062965,0,0,0,0,8.093918753,131.0290776,129.9860194,449670800
