,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Combustion Efficiency,Launch Temperature,Average OF,Average Regression,Discharge Coefficient
11,112950.19700079787,175.62672477122646,191.83314988849207,19.451999999999764,5806.61099119881,0.8343479720822962,287.7828770664404,7.206483502151556,0.000698812461443572,0.8729387823421897
12,92569.63163612071,143.93690006061652,156.4108925376129,21.198999999999728,4366.698034630025,0.8098683405141256,302.5589903693468,4.949385076233697,0.0006989103259587921,0.3964623439108684
13,93317.6573707041,145.10000834460246,170.24650640624685,15.126999999999855,6168.946742295563,0.8076467135180798,299.8356601988539,15.94763546529382,0.0004231112608900475,0.851287343841703
14,108489.07609523139,168.69010957039106,180.7776125624825,26.008999999999624,4171.212891508053,0.936131741677666,293.8457614353313,4.793064445925027,0.0006093542051257928,0.3704032973684443
15,85558.17181737165,133.03475241918076,142.78992285836668,21.08899999999973,4057.004685730606,0.7702903959157064,299.29069072007394,5.752312442834057,0.0007033609196850019,0.4295196725421653
16,88628.28073880331,137.80847737831613,160.79559505235378,22.4139999999997,3954.1483331312793,0.7976677350776333,282.80190742873475,14.794099937353499,0.0003072844243802183,0.6695839719414961
17,122449.67942811073,190.39750897551602,201.7859716200297,23.31799999999968,5251.294254572107,0.8572300299600745,286.8420922732501,5.258186601029988,0.0007341484749618216,0.644695748817225
18,97223.56860772584,151.17332575369394,178.21948560237965,18.517999999999784,5250.219710969164,0.8250469912786267,282.60239547246937,6.0342692268121665,0.0006987525650718399,0.899810899895668
19,85332.29146200437,132.68353012779303,158.67966544354425,14.644999999999865,5826.718433732001,0.8525255305731044,293.7046501385316,15.02963953557802,0.00038163932998560354,0.8440605560378451
20,107634.36970346223,167.36112309481732,179.92379566349356,19.903999999999755,5407.675326741537,0.8542956226251711,288.607841324094,5.545712890973413,0.0007635898288918351,0.7745512478420158
21,101241.52895873904,157.42086878988812,172.63070599463538,17.444999999999805,5803.469702421335,0.8857677693887854,295.4136983890336,5.351071712721959,0.0007893067571207733,0.6483568468400539
22,86221.42243239508,134.06604352191556,156.73971390545236,24.28899999999966,3549.8135959650986,0.8093950546803432,284.2432761765763,13.924964931728827,0.000290746425168947,0.5020872319129132
