,Chamber Pressure [psia],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [kg/mol],Throat Velocity [m/s],Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
657,581.6969696969697,1.912121212121212,1341.3605219413275,205.84906610908823,3516.7074743182206,0.3225675202630476,20.928003442730592,929.801501141967,14.933534392312266,1.2033047000130292,2015.6108877370295,1.5026637944792693
658,591.6565656565657,1.912121212121212,1341.3849720404125,206.19603803623718,3516.947774554697,0.32808703049858023,20.92921855318308,929.7936625505799,15.195130676644528,1.203267098312367,2015.6844716826506,1.5026912614461632
659,601.6161616161617,1.912121212121212,1341.409354078455,206.53185357264724,3517.1874893398017,0.3336064508721098,20.930431628794473,929.7858435139606,15.456816142862097,1.2032299509139783,2015.7576156347993,1.502718475648557
660,611.5757575757576,1.912121212121212,1341.43366831716,206.8570536772213,3517.4266284011946,0.33912578186870546,20.931642685563823,929.7780446441986,15.718589032632092,1.2031932406237507,2015.830323430957,1.5027454396719353
661,621.5353535353536,1.912121212121212,1341.4579150192326,207.17214474448198,3517.665200985499,0.3446450239665916,20.93285173890794,929.7702665013561,15.980447647605002,1.2031569512486926,2015.9025989948545,1.5027721561646739
662,631.4949494949495,1.912121212121212,1341.4820944485832,207.47760132422684,3517.903215868356,0.3501641770832538,20.93405880357747,929.7625095983645,16.242390345871637,1.2031210675267192,2015.974446313738,1.5027986278208572
663,641.4545454545455,1.912121212121212,1341.50620688124,207.77386859517415,3518.140681481064,0.35568324279233626,20.93526389417917,929.7547744016276,16.50441554154805,1.2030855750449603,2016.0458694522742,1.5028248573784169
664,651.4141414141415,1.912121212121212,1341.5302525889708,208.06136459785236,3518.3776057954833,0.3612022209989481,20.93646702447986,929.7470613388326,16.766521698733026,1.2030504601999086,2016.1168724960703,1.5028508475953763
665,661.3737373737374,1.912121212121212,1341.554231848688,208.34048209082937,3518.613996445669,0.3667211121565447,20.93766820792266,929.7393707990007,17.028707331439712,1.2030157100189425,2016.1874574561339,1.5028765996772884
666,671.3333333333334,1.912121212121212,1341.5781449397994,208.61159115677094,3518.8498607277725,0.3722399167129882,20.938867457532936,929.7317031358945,17.290971000744047,1.2029813125390427,2016.2576326301569,1.5029021195127743
667,681.2929292929293,1.912121212121212,1341.60199214346,208.8750397833829,3519.0852056221042,0.377758635110747,20.94006478594412,929.7240587069623,17.553311312678773,1.2029472561222359,2016.327400136783,1.5029274083822568
668,691.2525252525253,1.912121212121212,1341.6257330468677,209.13115604094725,3519.3200378131487,0.38327726778709736,20.94126020542045,929.7164066132785,17.815727622192696,1.2029134961646226,2016.3967563275032,1.5029525088546336
669,701.2121212121212,1.912121212121212,1341.6494481712969,209.38024973649513,3519.5543637083483,0.3887958151742976,20.942453727879258,929.7088085065191,18.078217238136716,1.2028800886999,2016.4657207576417,1.5029773453178437
670,711.1717171717172,1.912121212121212,1341.6730982468575,209.6226130982481,3519.788189455183,0.39431427769977784,20.943645364911376,929.7012343761829,18.34077956592245,1.2028469911418769,2016.534289988731,1.5030019592163708
671,721.1313131313132,1.912121212121212,1341.6966835608657,209.8585223651277,3520.0215209570374,0.3998326557862894,20.944835127799006,929.6936844345796,18.603413372488877,1.2028141941332748,2016.6024681572387,1.5030263533267192
672,731.0909090909091,1.912121212121212,1341.7202044021897,210.0882387829531,3520.254363887909,0.4053509498520366,20.94602302753197,929.6861588713965,18.866117460799078,1.20278168877514,2016.6702593801065,1.5030505304088189
673,741.0505050505051,1.912121212121212,1341.7436610589932,210.31200960990813,3520.486723706025,0.4108691603108666,20.947209074826286,929.6786578552008,19.128890668364402,1.202749466598067,2016.7376677512011,1.5030744932059155
674,751.010101010101,1.912121212121212,1341.7670538203868,210.53006904201817,3520.7186056663195,0.41638728757237375,20.948393280136536,929.6711815349455,19.3917318658031,1.2027175195353879,2016.8046973376931,1.503098244440022
675,760.969696969697,1.912121212121212,1341.7903964860213,210.74263890400113,3520.950039885722,0.42190533730977337,20.94957606430623,929.6637300470979,19.654639753376838,1.2026858399232134,2016.871352120873,1.503121771633885
676,770.929292929293,1.912121212121212,1341.8136626719433,210.94993008211063,3521.1809817538847,0.42742329959572967,20.950756626456553,929.6563034938521,19.91761366029334,1.2026544203796137,2016.9376362139699,1.5031451074234592
677,780.8888888888889,1.912121212121212,1341.8368658354143,211.15214228528092,3521.4114604290767,0.4329411798941347,20.951935376675536,929.6489019784298,20.18065235436274,1.2026232539291097,2017.003553532113,1.5031682396651826
678,790.8484848484849,1.912121212121212,1341.860006265289,211.34946535862915,3521.6414804623146,0.4384589785988692,20.95311232450331,929.6415255836068,20.443754825944463,1.202592333886562,2017.0691080071451,1.5031911709794377
679,800.8080808080808,1.912121212121212,1341.8830842514417,211.542079745366,3521.8710462522195,0.443976696100122,20.954287479278427,929.6341743782933,20.706920092457747,1.202561653862813,2017.1343035312952,1.5032139039556875
680,810.7676767676768,1.912121212121212,1341.9061000816778,211.73015706299392,3522.1001620531215,0.44949433278450474,20.955460850148004,929.6268484184282,20.970147197385828,1.2025312077475117,2017.199143956675,1.503236441155563
681,820.7272727272727,1.912121212121212,1341.9290540449208,211.91386063742397,3522.3288319827166,0.4550118890351518,20.95663244607736,929.619547747842,21.233435209255287,1.2025009896934529,2017.2636330935018,1.503258785107973
682,830.6868686868687,1.912121212121212,1341.9519464278426,212.0933459988292,3522.5570600291876,0.46052936523179344,20.957802275857745,929.6122723990159,21.496783220748103,1.2024709941016298,2017.3277747089492,1.5032809383120278
683,840.6464646464647,1.912121212121212,1341.9747775188628,212.2687613422957,3522.7848500578234,0.4660467617508491,20.95897034811452,929.6050223939501,21.76019034775233,1.2024412156075068,2017.3915725270303,1.503302903232474
684,850.6060606060606,1.912121212121212,1341.9975476026227,212.44024795610554,3523.012205817226,0.4715640789655128,20.96013667131475,929.5977977446389,22.023655728620017,1.2024116490681735,2017.4550302267332,1.5033246823045034
685,860.5656565656566,1.912121212121212,1342.0202569658563,212.60794062040395,3523.2391309452705,0.4770813172457947,20.96130125377335,929.5905984539552,22.287178523240055,1.2023822895503766,2017.5181514427372,1.5033462779277116
686,870.5252525252525,1.912121212121212,1342.0429058924865,212.77196797846506,3523.4656289743907,0.48259847695863806,20.962464103660587,929.583424516037,22.550757912370777,1.2023531323191512,2017.5809397639223,1.5033676924704846
687,880.4848484848485,1.912121212121212,1342.0654946638092,212.9324528817409,3523.6917033140944,0.4881155579140321,20.963625228891473,929.5762759176927,22.814393096299238,1.2023241728303502,2017.643398727745,1.5033889282656092
688,890.4444444444445,1.912121212121212,1342.0880235677578,213.0895128040169,3523.9173573465396,0.49363256158082974,20.964784637596697,929.5691526360846,23.078083296379855,1.2022954078100208,2017.7055338448233,1.5034099891084316
689,900.4040404040404,1.912121212121212,1342.1105063259868,213.24325977106923,3524.1426334571383,0.4991494918418189,20.965942741732444,929.5620546497826,23.34182733312193,1.2022668307576283,2017.7673460503918,1.5034308603364361
690,910.3636363636364,1.912121212121212,1342.132916620327,213.39380124192226,3524.3674572853147,0.5046663410298486,20.967098748868374,929.5549819109442,23.6056252867422,1.2022384389337457,2017.8288378213556,1.5034515732883076
691,920.3232323232323,1.912121212121212,1342.1552678890926,213.54123991031662,3524.5918702719664,0.510183113444064,20.968253062389927,929.5479343845956,23.869476026349652,1.2022102283517837,2017.8900139582677,1.5034721164985851
