,Chamber Pressure [bar],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [g/mol],Throat Velocity [m/s],Exit Pressure [bar],gamma,Exit Velocity [m/s],Thrust Coefficient
7087,52.848484848484844,21.241414141414143,1394.8693986501237,217.81335637073872,2885.907261105975,6.479848637916469,29.420703030225617,944.6207775342873,1.6334981736286598,1.2364454141408907,1653.0365728323331,1.1850842292344899
7088,53.44444444444444,21.241414141414143,1394.8926579557676,217.96095333968773,2886.2716441990365,6.552291510761845,29.421594228856605,944.6824316854883,1.6518043001755904,1.2364956947545123,1657.8744113667994,1.1885345878898617
7089,54.040404040404034,21.241414141414143,1394.9175312556733,218.1056291073722,2886.631052033008,6.624729231223502,29.42247340421164,966.8417491833278,1.6700724113710057,1.2649640922547694,1639.0041204698118,1.1749852999981822
7090,54.63636363636363,21.241414141414143,1394.9400590456312,218.24686527898714,2886.985604460063,6.697161873871609,29.423340845043384,966.8625993574087,1.6883763488790267,1.264962527541297,1643.7180410717583,1.1783451326954157
7091,55.232323232323225,21.241414141414143,1394.9623819708522,218.3850723114279,2887.3354172036234,6.769589511424197,29.424196830175088,966.8831476494178,1.7066793151357753,1.2649609833557407,1648.3551524491595,1.1816509386507017
7092,55.82828282828282,21.241414141414143,1394.9845349556065,218.52034659984358,2887.680602082203,6.842012223190663,29.425041629038528,966.9034013095918,1.724981283837383,1.2649594592472648,1652.9209539934473,1.1849044745473853
7093,56.42424242424242,21.241414141414143,1395.007353323507,218.65277204969163,2888.021267024908,6.91443006161951,29.42587550170668,966.9233613517697,1.7432812143485736,1.2649579554991757,1657.3897204772231,1.1880889604137066
7094,57.020202020202014,21.241414141414143,1395.0433441920873,218.78196563454708,2888.3575164754716,6.986843102630248,29.4266986998733,945.0349888973634,1.76160069724284,1.2367837725113269,1685.4483447580003,1.208170119731533
7095,57.61616161616161,21.241414141414143,1395.0643972386674,218.90898870357032,2888.689451388264,7.059251412154435,29.427511466836762,945.0910839631001,1.7799008881991334,1.2368296609829577,1689.793643714326,1.2112674980534355
7096,58.212121212121204,21.241414141414143,1395.0879167097353,219.03340017132743,2889.017169416135,7.131655054569169,29.428314037953438,945.1464324270252,1.7981967260413898,1.2368749744524543,1694.0744866642835,1.2143149815805325
7097,58.8080808080808,21.241414141414143,1395.107972949187,219.1553394953263,2889.3407650504655,7.2040540927488195,29.429106640973924,945.2011032897198,1.8164959249968848,1.2369197322004675,1698.2898520924673,1.2173194732336476
