x,y,x_acc,y_acc
35.01933198164774,36.91416651472479,70.08191920532282,103.85281282905424,
35.813348656955924,37.80759710261192,69.31869136157495,103.70818528660165,
36.614259081627125,38.71139120657727,68.55629589877542,103.56213627764294,
37.42198706791019,39.62553415095145,67.79493633842921,103.41467189906572,
38.236456541600596,40.550011118837105,67.03481180849269,103.2657983303864,
39.05759156173125,41.48480715273093,66.27611699641659,103.11552183303655,
39.8853178601706,42.42990867579297,65.54944917753944,102.9942615313,
40.71956322626987,43.38530387341965,64.83190402075721,102.87922976136339,
41.56025598649097,44.35098117388618,64.11597841606394,102.76282703578657,
42.4073246377645,45.32692886861954,63.40184263238714,102.64505830071606,
43.26069786430735,46.31313511269703,62.68966275400871,102.5259285819261,
44.12030455402096,47.30958792535283,61.979600661240376,102.40544298426332,
