time,position,velocity,acceleration,g-force,mock,imperial position,imperial velocity,imperial acceleration
24.9500000000011,[   0.         3750.34806202],[ 0.         43.46098916],[ 0.         -3.46314899],0.3530223231396534,0.12670842320699707,[    0.        12304.2919358],[  0.         142.58855168],[  0.         -11.36203773]
24.960000000001106,[   0.         3750.78249884],[ 0.         43.42637624],[ 0.         -3.46129227],0.35283305504587154,0.1266075109037901,[    0.         12305.71725349],[  0.         142.47499222],[  0.         -11.35594613]
24.97000000000111,[   0.         3751.21658963],[ 0.         43.39178186],[ 0.         -3.45943815],0.35264405198776755,0.12650665265306124,[    0.         12307.14143592],[  0.        142.3614936],[  0.         -11.34986306]
24.980000000001105,[   0.         3751.65033457],[ 0.         43.35720599],[ 0.         -3.45758665],0.3524553160040775,0.12640584836734692,[    0.         12308.56448367],[  0.        142.2480557],[  0.         -11.34378858]
24.99000000000111,[   0.         3752.08373385],[ 0.         43.32264862],[ 0.         -3.45573774],0.3522668440366972,0.1263050980174927,[    0.         12309.98639736],[  0.        142.1346785],[  0.         -11.33772261]
25.000000000001112,[   0.         3752.51678764],[ 0.        43.2881097],[ 0.         -3.45389143],0.3520786371049949,0.12620440145772593,[    0.         12311.40717756],[  0.         142.02136183],[  0.         -11.33166516]
25.01000000000111,[   0.         3752.94949613],[ 0.         43.25358922],[ 0.         -3.45204772],0.3518906952089704,0.12610375865889215,[    0.         12312.82682488],[  0.         141.90810566],[  0.         -11.32561624]
25.02000000000111,[   0.         3753.38185951],[ 0.         43.21908716],[ 0.         -3.45020659],0.3517030163098879,0.1260031695626822,[    0.         12314.24533995],[  0.         141.79490992],[  0.         -11.31957579]
25.03000000000111,[   0.         3753.81387797],[ 0.         43.18460348],[ 0.         -3.44836805],0.3515156014271152,0.12590263405247815,[    0.        12315.6627234],[  0.         141.68177448],[  0.         -11.31354383]
25.04000000000111,[   0.         3754.24555168],[ 0.         43.15013816],[ 0.         -3.44653209],0.3513284495412844,0.12580215206997086,[    0.         12317.07897577],[  0.         141.56869928],[  0.         -11.30752034]
25.05000000000112,[   0.         3754.67688082],[ 0.         43.11569117],[ 0.        -3.4446987],0.3511415596330275,0.1257017235276968,[    0.         12318.49409767],[  0.         141.45568422],[  0.         -11.30150528]
25.06000000000112,[   0.         3755.10786559],[ 0.         43.08126249],[ 0.         -3.44286789],0.3509549327217125,0.12560134836734693,[    0.         12319.90808974],[  0.         141.34272923],[  0.         -11.29549869]
25.07000000000112,[   0.         3755.53850616],[ 0.        43.0468521],[ 0.         -3.44103964],0.35076856676860346,0.12550102653061224,[    0.         12321.32095255],[  0.         141.22983424],[  0.         -11.28950049]
25.08000000000112,[   0.         3755.96880272],[ 0.         43.01245996],[ 0.         -3.43921396],0.35058246279306826,0.12540075790087465,[    0.         12322.73268672],[  0.         141.11699914],[  0.         -11.28351073]
25.09000000000113,[   0.         3756.39875545],[ 0.         42.97808605],[ 0.         -3.43739084],0.350396619775739,0.12530054241982508,[    0.         12324.14329283],[  0.         141.00422384],[  0.         -11.27752936]
