,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,flipped
9920,99.21000000001385,0.0043598839915902415,1.2128845407331577,0.05167341921345503,5.402311152741428,0.1895547772891729,0.0,60.24400000000089,0.0,0.0,-589.3537172877608,0.8845921643517698,-6.108945269275567e-15,-99.76664738810976,53.588624931206816,1.5707963267948966,3.030285392058833,3.6621438970840575e-13,5980.73485291235,7369.840325969982,1.7754660906675717e-15,28.995561690174185,-259.4234850959225,-1.0140338073958364e-16,-1.6560428820813409,0.889526341730397,1.5707963267948966,3.0347640437967778,-3.582582774408088e-30,0.017116958372832496,-1.5777218104420236e-32,-0.13404970713479433,"[0, 0, 0]",1.7764759794621787e-15,29.01205442579901,-259.43237889160497,-4.42365508620788e-15,-72.24377002884097,646.0201971086047,-1.6852901830676874e-15,-27.522877359268797,-3.0778548896373024,0.0
9930,99.3100000000139,0.00489506077203708,1.2121026949199694,0.058016295623797315,5.39329240389625,0.189238329961272,0.0,60.24400000000089,0.0,0.0,-589.3585087330696,0.884227392150822,-6.303478251507343e-15,-102.9436120830277,54.31386591903572,1.5707963267948966,3.030892973312877,3.6639141999595597e-13,5983.6259769110975,7343.902438266761,1.7650861155811433e-15,28.826043832557513,-259.33407073676,-1.0463246549875923e-16,-1.7087778381751908,0.901564735393316,1.5707963267948966,3.0357594365124667,-3.585888101600966e-30,0.0025168816436449077,-4.259848888193464e-32,-0.1505856596145792,"[0, 0, 0]",1.766132981950652e-15,28.843140457808772,-259.3430765070333,-4.406884362659253e-15,-71.96988332844205,647.1171537493666,-1.8965938888480915e-15,-30.97372875458564,-3.4447790972613337,0.0
9940,99.41000000001397,0.0039630503937900675,1.211308686633224,0.046970166519379936,5.409393508625356,0.18980328100439844,0.0,60.24400000000089,0.0,0.0,-589.363298572358,0.8838569652209342,-5.929100847473973e-15,-96.82956508933093,56.04987876227415,1.5707963267948966,3.0314906697279675,3.665674121067435e-13,5986.50014619664,7317.9735806907975,1.7548591353779993e-15,28.659024570999588,-259.2426043347747,-9.841811379513124e-17,-1.607289773078307,0.9303810962464863,1.5707963267948966,3.0352873793163075,-3.589662801032448e-30,-0.011493282577152028,-1.0255191767873153e-32,-0.12254702408689212,"[0, 0, 0]",1.7558483917922756e-15,28.67518035428281,-259.2518902890712,-4.390051207086503e-15,-71.69497703571393,648.1932490431328,-1.5390496403874698e-15,-25.134588053616987,-2.7800717085006954,0.0
9950,99.510000000014,0.001851707972855512,1.2105027265883797,0.021946531371767875,5.4456894333406645,0.19107682222247946,0.0,60.24400000000089,0.0,0.0,-589.3680867557778,0.8834809781564881,-5.096180659053736e-15,-83.22694613013155,58.5847935900731,1.5707963267948966,3.0320233561802565,3.6674242660569156e-13,5989.358349869243,7292.054038320647,1.7456600967983743e-15,28.508792870136446,-259.14754721359384,-8.459233548658226e-17,-1.3814976782771784,0.9724585616836904,1.5707963267948966,3.0336215433801965,-3.5900749808554254e-30,-0.02074957172381847,1.4593926746588718e-32,-0.05776914996337847,"[0, 0, 0]",1.7465141242699989e-15,28.52274019718975,-259.15724863348385,-4.375418708297197e-15,-71.45601019565045,649.2483847135939,-7.207619507565386e-16,-11.770935934481098,-1.2955043677431102,0.0
9960,99.61000000001404,0.0007977725191782621,1.2096848620435685,0.009455242416551523,5.463886244074789,0.19171530680964172,0.0,60.24400000000089,0.0,0.0,-589.372873208584,0.8830994449154909,-4.053369434059729e-15,-66.1965464145556,61.47472178512805,1.5707963267948966,3.0324550606556784,3.6691659819087297e-13,5992.202787715366,7266.14422567294,1.7380586479572979e-15,28.384651789681765,-259.047911684423,-6.728254156529564e-17,-1.0988072905941608,1.0204289520139294,1.5707963267948966,3.0313937158177167,-3.5863468581137184e-30,-0.02243303209404584,2.701848600381965e-32,0.025026136330948343,"[0, 0, 0]",1.7387401753405847e-15,28.395781976503983,-259.0580920373912,-4.364604597183708e-15,-71.27940235866402,650.2904548246023,3.1123516312397846e-16,5.08285594410841,0.5571401691098037,0.0
9970,99.71000000001409,0.003178203320599423,1.2088551724862342,0.03766817572721773,5.42328213586322,0.19029060125835856,0.0,60.24400000000089,0.0,0.0,-589.3776578439247,0.8827124112082592,-3.1151955767286433e-15,-50.875004595571305,64.14437602852921,1.5707963267948966,3.0327800066970734,3.670900954494178e-13,5995.036212971783,7240.244614157909,1.7321447510531221e-15,28.28807052382955,-258.94358519417824,-5.1709640407818165e-17,-0.8444825143677474,1.0647429790274263,1.5707963267948966,3.029408338445419,-3.580204589890441e-30,-0.016045235925253552,9.545216953174243e-32,0.09917118171668493,"[0, 0, 0]",1.7326685181751337e-15,28.296624290064454,-258.9542125675234,-4.3578923254488704e-15,-71.1697826423587,651.3043688121079,1.2426967487202273e-15,20.294778046787386,2.2176650603459267,0.0
9980,99.81000000001416,0.004570931910118832,1.208013833536744,0.0541747457145917,5.399589076508758,0.18945926584241252,0.0,60.24400000000089,0.0,0.0,-589.3824405797831,0.8823199596711457,-2.563157271226414e-15,-41.8595348962819,66.09859290725126,1.5707963267948966,3.0330244980780274,3.6726307007708835e-13,5997.861103018299,7214.355639824948,1.7274997287401195e-15,28.21221155263498,-258.83536495907697,-4.254626637053278e-17,-0.6948332596819814,1.0971813443206009,1.5707963267948966,3.0283878924194103,-3.573621545636371e-30,-0.0036487273342316094,5.995342879679691e-32,0.14230648350258554,"[0, 0, 0]",1.7279278471868998e-15,28.219203257460862,-258.84632407063634,-4.354372735780807e-15,-71.11230338106448,652.2919218677007,1.7912154645543918e-15,29.2527684847826,3.189111619333385,0.0
9990,99.91000000001421,0.0045659374107764154,1.2071610394182015,0.05411555125362947,5.399830565297173,0.18946773913323411,0.0,60.24400000000089,0.0,0.0,-589.3872213542581,0.8819221793407022,-2.558981953702537e-15,-41.79134678642381,67.06198947826283,1.5707963267948966,3.033238685207013,3.6743561139371837e-13,6000.6789165585005,7188.477623050205,1.7233277308465927e-15,28.144077656454762,-258.7247070650958,-4.247695959269802e-17,-0.6937013941043624,1.113172921423907,1.5707963267948966,3.0287534573453,-3.568099519299824e-30,0.010962468466690795,5.048709793414477e-32,0.14245691572339794,"[0, 0, 0]",1.7237503843107338e-15,28.1509801113411,-258.73583459823715,-4.35216968055447e-15,-71.07632475885491,653.262946225057,1.7931877268519325e-15,29.28497797243108,3.186264607463988,0.0
10000,100.01000000001427,0.003176319585044424,1.2062968809149015,0.037645849703344315,5.423785640015319,0.1903082680707129,0.0,60.24400000000089,0.0,0.0,-589.392000134604,0.8815191104154617,-3.0987986934686325e-15,-50.607223170405476,67.0516926644658,1.5707963267948966,3.0334812677137317,3.676077201479779e-13,6003.489665819091,7162.610724033607,1.7186987467582965e-15,28.06848060934666,-258.6132774610254,-5.1437465863299044e-17,-0.8400375667353551,1.1130020029291685,1.5707963267948966,3.0305066488934687,-3.5625617157451724e-30,0.02339342342705087,3.9443045261050587e-32,0.09975040991974894,"[0, 0, 0]",1.7192069125682043e-15,28.076779586819374,-258.6244106971366,-4.348978102290518e-15,-71.02420233031184,654.2271849986038,1.2501794088218846e-15,20.416979159906358,2.2165078004661107,0.0
10010,100.11000000001431,0.0008316565471478832,1.2054215800125794,0.009856837631278176,5.4641008761981595,0.1917228377613389,0.0,60.24400000000089,0.0,0.0,-589.3967769176318,0.8811108653197646,-4.014612808911895e-15,-65.56360269274418,66.35976557909134,1.5707963267948966,3.0338018194276715,3.677793091389653e-13,6006.291926701282,7136.754945270847,1.7128289580826742e-15,27.972619685532393,-258.5024896156772,-6.66392140115503e-17,-1.0883009543314393,1.1015165921766543,1.5707963267948966,3.03323085247414,-3.5600324304678076e-30,0.02987390931681163,1.203012880462043e-32,0.026366623420669408,"[0, 0, 0]",1.713486969708397e-15,27.983365830889262,-258.5135119453999,-4.3426611790755694e-15,-70.92103914531275,655.176614960094,3.2804837016367446e-16,5.3574364525685585,0.5799275366290484,0.0
