time,Direction of translational drag1,Direction of translational drag2,Direction of translational drag3,thrust1,thrust2,thrust3,Pitch torque due to z translational drag,Pitch torque after x translational drag,Yaw torque after x translational drag,Pitch torque after y translational drag,Yaw torque after y translational drag,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2
26.28000000000131,0.6540400631464243,1.8601236145068336,21.104916940746392,0.0,0.0,-0.0,19.2578340653913,19.28860091408212,0.7834170430101076,20.73563564532327,0.6486846619972609,137.3736241538005,-331.5278218063355,1818.41474815917,7.824449719136509,-6.187377012522812,-70.29994091561215,0.15519726051064414,0.44138899961849587,-4.799812959055763,1.5089014623055634,2.2806817372012627,-0.1492406412560605,0.32036243053994595,0.11544520767505369,3.690270226116379
26.29000000000131,0.6540404990162323,1.8601248541430095,21.13442692715391,0.0,0.0,-0.0,19.234946578482916,19.266586990112256,0.7833457113188332,20.718597889047075,0.6452752971668066,137.4518764108575,-331.5896735070034,1817.7115089343724,7.826001692258753,-6.1829631210558595,-70.34790404387351,0.15519736393825348,0.4413892937719421,-4.792812693216985,1.5074148129843403,2.2840697992051195,-0.1480892229885566,0.35724997023147265,0.11483844582572911,3.6872377121889537
26.30000000000131,0.6540397189431248,1.8601226355749276,21.163918677055925,0.0,0.0,-0.0,19.205597327188947,19.238124217557235,0.7832717389975176,20.69571393277576,0.6418895776158082,137.53014418764366,-331.65148106876245,1817.0077904281975,7.827553664972617,-6.178549230750362,-70.3957971911206,0.1551971788345938,0.4413887673276033,-4.785816756199301,1.5059396476129039,2.2878265589682907,-0.1469438512987333,0.3941019824027533,0.11423589213892939,3.6831647220671715
26.310000000001313,0.654037725376105,1.8601169657676797,21.193392135202178,0.0,0.0,-0.0,19.169693538505985,19.203120595806627,0.7831951667965729,20.666885589682728,0.6385274269040047,137.6084274841405,-331.71324449166525,1816.3035933402384,7.829105634395694,-6.1741353498040334,-70.44362040070715,0.15519670578078937,0.4413874219382272,-4.778825161110899,1.5044759059355453,2.2919516087549168,-0.145804484172989,0.43090797492249006,0.11363753300993422,3.678033781880185
26.320000000001315,0.6540345207643724,1.8601078516869143,21.22284724658115,0.0,0.0,-0.0,19.127136558626315,19.161478197404012,0.783116034904717,20.632007927032763,0.6351887683995586,137.68672630030073,-331.7749637758463,1815.5989183696543,7.830657597651388,-6.169721486398059,-70.49137371611772,0.15519594535801112,0.4413852592566935,-4.771837921003325,1.5030235281160107,2.29644443500412,-0.14467107973393964,0.46765727491815734,0.11304335479993873,3.671826217253266
26.330000000001316,0.6540301075573024,1.860095300298782,21.252283956419745,0.0,0.0,-0.0,19.077822042113347,19.113093355264763,0.7830343829559218,20.590969443986207,0.631873525294415,137.76504063604833,-331.83663892152174,1814.8937662151689,7.832209551868916,-6.1653076486970955,-70.53905718096709,0.1551948981474717,0.44138228093600107,-4.764855048871538,1.5015824547361372,2.3013044164633567,-0.143543596240746,0.5043390169291847,0.11245334383878676,3.664522184952205
26.340000000001318,0.654024488204425,1.860079318569872,21.281702210182896,0.0,0.0,-0.0,19.021640170358452,19.057856879183436,0.7829502500362893,20.543652278432447,0.6285816206193521,137.8433704912786,-331.89826992898946,1814.188137575069,7.833761494183305,-6.160893844849269,-70.58667083899972,0.15519356473042042,0.4413784886292529,-4.757876557654025,1.5001526267944865,2.3065308222050147,-0.14242199208941383,0.5409421314024159,0.11186748642764924,3.6561007096940403
26.35000000000132,0.6540176651554064,1.860059913467161,21.311101953573267,0.0,0.0,-0.0,18.958475899792255,18.9956543021057,0.7828636746908672,20.489932443429804,0.6253129772587432,137.92171586585818,-331.95985679862866,1813.4820331472035,7.835313421735398,-6.1564800829861746,-70.63421473408916,0.15519194568813893,0.44137388398964383,-4.7509024602328624,1.498733985704974,2.312122809529937,-0.14130622581306734,0.5774553335820201,0.11128576884165133,3.646539726226795
26.36000000000132,0.6540096408600262,1.8600370919579483,21.34048313253083,0.0,0.0,-0.0,18.88820924028685,18.926366156603827,0.78277469493039,20.429680093803064,0.6220675179650151,138.00007675962522,-332.0213995308997,1812.775453628982,7.836865331671849,-6.152066371222874,-70.68168891023748,0.1551900416019358,0.4413684686704454,-4.743932769433809,1.4973264732954976,2.318079421762082,-0.14019625608219685,0.6138671128470357,0.11070817733244531,3.635816126776326
26.370000000001323,0.6540004177681593,1.860010861009805,21.36984569323256,0.0,0.0,-0.0,18.810715564141084,18.849868281951196,0.7826833482379586,20.36275982341629,0.6188451653728287,138.0784531723893,-332.0828981263441,1812.0683997173728,7.838417221145124,-6.1476527176578974,-70.72909341157478,0.1551878530531422,0.4413622443249934,-4.736967498026404,1.4959300318065623,2.3243995859390707,-0.13909204170488096,0.6501657225506793,0.11013469813073437,3.623905813952404
