,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],air speed1,air speed2,air speed3,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,flipped
6830,68.30999999999804,0.07823495237813075,0.9405626450934664,0.9262993139005341,4.221328882487135,0.14811680289428544,7.788112442258552,0.4283863362898974,4.776052266428991e-16,-36.47737290686232,39.32006505772929,-117.32263953015469,13.024572518468487,-14.039581196894526,41.891098641348904,-39.55394503829819,14.216545231089592,17.062516616561652,0.0,60.24400000000089,0.0,0.0,-588.1107271576369,0.43116260783247823,-26.529372519829696,0.17696403419506626,-529.1571118997264,2.196055952616863,2.7460616030011766,-2540.626631380643,3283.5768146256596,14110.967594016438,-28.693568611149136,39.7484304557422,-117.41052440861161,-0.44036538941354014,0.002937454919910093,-8.783565365840891,2.388615865031729,2.639299839748257,0.04649026664060297,-0.16785100884320947,-0.06183226918855081,0.15568954547257388,0.0
6840,68.40999999999809,0.10003398752869223,0.9412003505705008,1.1836319094038252,4.4191867006597,0.15505918247928768,7.209304810322352,0.3965489324645009,4.4210990575698734e-16,-35.95007560871321,39.35613427272376,-118.1971726404309,12.934512065405311,-14.159981167741359,42.52627372065687,-50.463329136450994,20.198696714805738,22.07415845641168,0.0,60.24400000000089,0.0,0.0,-588.1128955629435,0.4339419402410825,-37.52881707104568,6.038715547064383,-523.512463385875,2.1968754685789103,2.7484345782096082,-2543.498505067428,3287.551837721881,14099.182784716219,-28.746913339751607,39.75363845092553,-118.28411604147108,-0.6229469668522198,0.1002376261049116,-8.689868922811687,2.392931467290518,2.623389977746393,0.03959033449251878,-0.1493957824211088,-0.07590783746043712,0.21330321477384026,0.0
6850,68.50999999999814,0.11869195528217355,0.9418374669320562,1.4034428727224444,4.616395218803575,0.16197877960714302,6.775182047280192,0.3726699423576573,4.15487370172041e-16,-35.58482908696904,39.39369428157942,-119.06273486424368,12.9052772324872,-14.286609180365472,43.17956952177284,-60.01097628687258,25.730822032791327,26.44918642994949,0.0,60.24400000000089,0.0,0.0,-588.1150799996072,0.4367187211111066,-47.10569905438538,11.444212852425858,-518.4863240478849,2.1978643706670926,2.75062429316804,-2546.3765893572963,3291.527856611197,14087.31106816683,-28.81739273043312,39.768221148148214,-119.14883845647348,-0.7819151957769188,0.1899643591465655,-8.606439214658344,2.3964892001897558,2.609611976300476,0.03135987223595263,-0.12523915271805938,-0.088333288432546,0.2693685642002803,0.0
6860,68.60999999999821,0.13354603710238802,0.9424740104251228,1.578094373250393,4.818625988721383,0.1690745960954871,6.5032065641927135,0.35770988860595104,3.9880850052238334e-16,-35.396468784933894,39.43091213932287,-119.92041678063036,12.943446565154414,-14.418723726132194,43.85136596822915,-67.82143657288586,30.636596595896968,30.09219287340805,0.0,60.24400000000089,0.0,0.0,-588.1172803125037,0.4394930025123486,-54.87799000773144,16.217872869764776,-514.1737214708663,2.198987528480328,2.7526538234035995,-2549.2624683233053,3295.505766104723,14075.353277265325,-28.902314788409182,39.791277194126415,-120.00579820493564,-0.9109287233206732,0.26920312180075257,-8.534853619793816,2.3991653079496342,2.5985247307899653,0.02199383941646853,-0.09563955401403136,-0.0985551255042143,0.3218488725510838,0.0
6870,68.70999999999825,0.14431769497939806,0.9431289693997188,1.7045299080931364,4.099919861557947,0.14385683724764722,6.381241052090094,0.3510011566415971,3.913289775336916e-16,-35.369716308841255,39.4672891541534,-120.77145125364734,13.044719295659235,-14.55594678456198,44.54176750463268,-73.71404279450104,34.76802885648167,32.95020957776084,0.0,60.24400000000089,0.0,0.0,-588.1194963679742,0.4422647010097706,-60.66932349884181,20.212082071919692,-510.6275192855808,2.2002054809639104,2.7545497571674478,-2552.1574301374194,3299.486356039326,14063.310126936687,-28.998505222040592,39.82161502248025,-120.8562378604571,-1.0070600142560406,0.3355036530097502,-8.47598963026315,2.400912731939,2.590465838540893,0.01318954720730292,-0.06602095057486038,-0.08674370379393058,0.3009703827049238,0.0
6880,68.8099999999983,0.15112831172555968,0.9437907710435608,1.7843704182640236,4.331801121783402,0.15199302181696145,6.399721700622813,0.3520176875887153,3.924623014804651e-16,-35.491706511945964,39.50205032350663,-121.61708947862095,13.205355274803898,-14.697478928760777,45.249919823163516,-77.68585669485229,38.09575620760217,35.04494411960709,0.0,60.24400000000089,0.0,0.0,-588.1217280554789,0.44503363277369,-64.48050142004838,23.39827727884139,-507.8268641127083,2.201478446383101,2.756339250317112,-2555.062436471892,3303.470289552425,14051.182206438929,-29.102664834463585,39.857928758201496,-121.70140472120224,-1.0703223793248695,0.38839182788063625,-8.429501097415526,2.4017878694018493,2.585434019819112,0.004223090649246933,-0.03399120126648406,-0.09221249040851737,0.3387820709263196,0.0
6890,68.90999999999835,0.15396357899599492,0.9444518817734356,1.8175839231069613,4.575625812436806,0.1605482741205897,6.5121749758994065,0.3582031974868709,3.9935848748489294e-16,-35.712666075623346,39.53630753708021,-122.45861234064695,13.40687048566507,-14.842301426296027,45.972113984118536,-79.71605041600243,40.449569236376966,36.3069547618114,0.0,60.24400000000089,0.0,0.0,-588.1239752875307,0.4477996694277045,-66.30917993033735,25.607267810080934,-505.8449065416007,2.202769074867044,2.7580499264595657,-2557.978119088716,3307.458093064863,14038.96997945838,-29.211491044294444,39.89874695170149,-122.54259148268991,-1.1006769127271825,0.4250592226625152,-8.396602259836554,2.4017422316845263,2.583785363680256,-0.005197185485534736,0.0015500552786623276,-0.09590839711847483,0.3709800010106797,0.0
6900,69.0099999999984,0.1530114232703004,0.9451151825985216,1.8064315895268088,3.912851127996333,0.13729302203495908,6.638949133860093,0.3651764297646096,4.071329002060989e-16,-35.94974713603875,39.572688589221904,-123.29743012899095,13.61694852861857,-14.989236547878043,46.702268959614536,-79.92895329601481,41.63072997290331,36.66634063718973,0.0,60.24400000000089,0.0,0.0,-588.1262380014026,0.4505629472242648,-66.31200476739625,26.641493425025267,-504.7576284045984,2.2040464909946724,2.759710387483043,-2560.904784168245,3311.4501303961165,14026.673773919987,-29.321812010594968,39.942283449198214,-123.38122119463988,-1.1007238026591075,0.44222650263968,-8.378554352376849,2.400740504996398,2.5858313234349297,-0.014646077908831419,0.038842517126573065,-0.07978573846565014,0.3207156891444797,0.0
6910,69.10999999999845,0.1487492458288313,0.9458025609636526,1.7564899680083108,4.182593899755926,0.14675768069319042,6.7290369454902335,0.3701317238560517,4.1265752636043036e-16,-36.1490399341994,39.6119901822386,-124.1350349862893,13.814184441467098,-15.137534481333024,47.43761582797206,-78.56241343638571,41.60178351440789,36.15325247438004,0.0,60.24400000000089,0.0,0.0,-588.1285161613131,0.4533238847375535,-64.74822899491859,26.464249033074864,-504.537647858961,2.205288235019056,2.761348777166442,-2563.842434487233,3315.4465730162983,14014.293770686963,-29.43076809050708,39.98652076383078,-124.21878281490321,-1.0747664330874054,0.439284394015578,-8.374902859354519,2.398872350419814,2.591352000584084,-0.02276268509712491,0.0718696243459724,-0.0825418875411514,0.3387752085828698,0.0
6920,69.2099999999985,0.1415831829546911,0.9464894844124648,1.6724509110265209,4.466052436049372,0.15670359424734634,6.742321825389666,0.3708624607413192,4.134722203087182e-16,-36.268031557393314,39.654413414362544,-124.97282662163082,13.980422008907814,-15.285787792788847,48.173909109227715,-75.81867757558302,40.32797881923406,34.799377214869715,0.0,60.24400000000089,0.0,0.0,-588.130809758194,0.4560830597468463,-61.838255566675215,25.042191026445217,-505.1575234340965,2.206480432963952,2.7629902123340995,-2566.790812649159,3319.447391007444,14001.830006497956,-29.536004492901373,40.029449296516795,-125.05667008081603,-1.026463308656037,0.4156794207961764,-8.385192275315205,2.3961788269310795,2.600254182822522,-0.03115566448606532,0.10635332495157387,-0.08538878647690969,0.3495728468219255,0.0
