time,Gravity1,Gravity2,Gravity3,flipped,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
16.599999999999966,0.0,0.0,-41.27176723482936,0,2.3991580022817575e-10,549.564672982708,1001.4139858904612,5.206618417037286e-10,30.280056227244696,-39.0603565196782,-2.383044936175478e-11,0.1549752808292005,-6.378172162653894,"[0, 0, 0]",5.233967161107992e-10,30.266098404905176,-38.41894161757628,-1.170605105163374e-10,-6.7691768434135255,8.592604387488718,1.6806283653466694e-11,7.421154769911328,5.846319317693314
16.699999999999967,0.0,0.0,-41.27181741794551,1,2.9144541629595096e-10,552.5844651816069,997.4692127547933,5.099304796517759e-10,30.115787750734842,-39.835106193678854,-1.9079679167729873e-10,-3.4403448110262485,-9.116821317359177,"[0, 0, 0]",5.206618417037286e-10,30.280056227244696,-39.0603565196782,-1.177102871765077e-10,-6.845660328336384,8.83069473288649,-6.849680235490297e-10,-7.627801918861785,-5.913163411016478
16.79999999999997,0.0,0.0,-41.27186851840139,1,3.416878270720362e-10,555.5786805275611,993.440260652824,4.949177358699291e-10,29.76851916834914,-40.74393584570618,-1.0945808395963529e-10,-3.505026836687783,-9.05977172318735,"[0, 0, 0]",5.099304796517759e-10,30.115787750734842,-39.835106193678854,-1.1652425263992866e-10,-6.881760946538225,9.102723142222072,-3.439637312281342e-10,-7.863817297139167,-5.945134211008595
16.89999999999997,0.0,0.0,-41.27192070940668,0,3.908482856867933e-10,558.5378519654986,989.3207538883688,4.88291436425212e-10,29.41490959039986,-41.64619944339836,-2.3067904934708343e-11,-3.567164722297865,-8.985500230656173,"[0, 0, 0]",4.949177358699291e-10,29.76851916834914,-40.74393584570618,-1.1431464439645811e-10,-6.875845087583053,9.410914582253103,1.7268426783502027e-11,-8.131146005938877,-5.940814767013863
16.99999999999997,0.0,0.0,-41.27197407355851,1,4.3960031213000233e-10,561.4613512141192,985.1113957345864,4.867490924389684e-10,29.055075382012944,-42.54096363225005,-7.778974790164208e-12,-3.629519445440412,-8.909783546377577,"[0, 0, 0]",4.88291436425212e-10,29.41490959039986,-41.64619944339836,-1.1399981546435186e-10,-6.8674033887542425,9.723002897811767,8.127382312006618e-11,-8.401912785801914,-5.934311132440299
17.099999999999973,0.0,0.0,-41.2720286017535,1,4.88327590508994e-10,564.3485550442252,980.812943210094,4.877964751408656e-10,28.689001220107528,-43.42808685759697,2.8726628828108405e-11,-3.6919637926679414,-8.8326809605609,"[0, 0, 0]",4.867490924389684e-10,29.055075382012944,-42.54096363225005,-1.1486033955812661e-10,-6.85625484691257,10.038579637501483,2.3571269613016365e-10,-8.675763455422164,-5.9254642977270855
17.199999999999974,0.0,0.0,-41.27208428419207,0,5.373405124997532e-10,567.1988391594813,976.4261673291994,4.924619646743165e-10,28.316681085012995,-44.30743076029375,6.458316184090952e-11,-3.7544389092227513,-8.754197093374636,"[0, 0, 0]",4.877964751408656e-10,28.689001220107528,-43.42808685759697,-1.1633846649985045e-10,-6.842268399737429,10.357510325543302,3.8803854485050325e-10,-8.952581476324248,-5.914159233851875
17.299999999999976,0.0,0.0,-41.27214111089342,1,5.868584883491613e-10,570.011578953775,971.9518529125302,4.978975523138457e-10,27.938114800862593,-45.178857573090475,4.4128590949674216e-11,-3.816886773785257,-8.674339162559919,"[0, 0, 0]",4.924619646743165e-10,28.316681085012995,-44.30743076029375,-1.187007304241405e-10,-6.825320469574499,10.679656037887286,3.0434883554580114e-10,-9.232246331624093,-5.900287391639033
17.399999999999977,0.0,0.0,-41.27219907169798,1,6.369309884049053e-10,572.7861500927816,967.3907985149825,5.035524488010352e-10,27.553307979267064,-46.04223037786235,6.896933879411724e-11,-3.8792496581253486,-8.593116932877615,"[0, 0, 0]",4.978975523138457e-10,27.938114800862593,-45.178857573090475,-1.2128015905207695e-10,-6.805293560728309,11.004872401545192,4.1143279667478875e-10,-9.514632655500389,-5.883745488414802
17.49999999999998,0.0,0.0,-41.272258156268315,0,6.876924469308582e-10,575.5219290910312,962.7438163283549,5.116767217180225e-10,27.162271985726363,-46.89741335469074,9.351611954562806e-11,-3.9414702126886443,-8.510542603690194,"[0, 0, 0]",5.035524488010352e-10,27.553307979267064,-46.04223037786235,-1.2394631870425387e-10,-6.782076227185803,11.333010044647954,5.173667751102998e-10,-9.799610625530656,-5.864435485123
