time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3
67.5499999999983,3.141592653589793,0.9234735534653282,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3862985773154,0.34157400603458443,0.0,0.0,-563.8289858362334,1.5707963267948966,3.141592653589793,0.0,0.0,14791.268537942993,0.0,0.0,-100.79683412197681,0.0,0.0,-9.352702600117809,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-100.32909400052044,-0.0,-0.0,24.557312741081954
67.5999999999983,3.141592653589793,0.9237231137401503,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3872247766217,0.34315834024210107,0.0,0.0,-563.573902329298,1.5707963267948966,3.141592653589793,0.0,0.0,14786.217008003196,0.0,0.0,-101.2643634698999,0.0,0.0,-9.34847131680586,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-100.79683412197681,-0.0,-0.0,24.81332244732366
67.6499999999983,3.141592653589793,0.9239726360954189,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.388155285113,0.34474195532954094,0.0,0.0,-563.3172642262201,1.5707963267948966,3.141592653589793,0.0,0.0,14781.142106901223,0.0,0.0,-101.73168060897277,0.0,0.0,-9.344214246108464,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-101.2643634698999,-0.0,-0.0,25.070891058892965
67.6999999999983,3.141592653589793,0.9242220451939426,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3890901008723,0.3463248469251144,0.0,0.0,-563.0590697794976,1.5707963267948966,3.141592653589793,0.0,0.0,14776.043845279772,0.0,0.0,-102.19878424910144,0.0,0.0,-9.339931359038342,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-101.73168060897277,-0.0,-0.0,25.33002032137477
67.7499999999983,3.141592653589793,0.9244713403471928,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3900292219696,0.3479070106492265,0.0,0.0,-562.7993151825299,1.5707963267948966,3.141592653589793,0.0,0.0,14770.922233846097,0.0,0.0,-102.6656730978887,0.0,0.0,-9.33562259245223,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-102.19878424910144,-0.0,-0.0,25.5907140394397
67.79999999999829,3.141592653589793,0.9247205208654117,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.390972646464,0.3494884421115815,0.0,0.0,-562.537996627123,1.5707963267948966,3.141592653589793,0.0,0.0,14765.777283372156,0.0,0.0,-103.13234585977952,0.0,0.0,-9.331287883180432,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-102.6656730978887,-0.0,-0.0,25.85297601934103
67.84999999999829,3.141592653589793,0.9249695860571564,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.391920372402,0.3510691369111788,0.0,0.0,-562.2751103041178,1.5707963267948966,3.141592653589793,0.0,0.0,14760.60900469476,0.0,0.0,-103.59880123605996,0.0,0.0,-9.32692716803724,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-103.13234585977952,-0.0,-0.0,26.11681006828419
67.89999999999829,3.141592653589793,0.9252259685427031,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3928723978185,0.35264909033844744,0.0,0.0,-562.0104404457647,1.5707963267948966,3.141592653589793,0.0,0.0,14755.417408717934,0.0,0.0,-104.06503783695845,0.0,0.0,-9.32253686790267,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-103.59880123605996,-0.0,-0.0,26.382431952053686
67.94999999999828,3.141592653589793,0.9254857857851744,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3938287207363,0.3542282975235898,0.0,0.0,-561.744088803449,1.5707963267948966,3.141592653589793,0.0,0.0,14750.202506416375,0.0,0.0,-104.53105422542131,0.0,0.0,-9.318118670611986,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-104.06503783695845,-0.0,-0.0,26.6497399172873
67.99999999999828,3.141592653589793,0.9257454803110083,1.4514580673673338e-15,10.865833686656307,0.3812573223388178,0.0,60.28514002242852,0.0,0.0,-588.3947893391653,0.35580675387560345,0.0,0.0,-561.4761520147948,1.5707963267948966,3.141592653589793,0.0,0.0,14744.964308834573,0.0,0.0,-104.99684904666597,0.0,0.0,-9.31367417917422,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-104.53105422542131,-0.0,-0.0,26.918637324370522
