time,AOA1,AOA,CD,CL,Thrust,Gravity1,Gravity2,Gravity3,flipped,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
18.460000000000086,1.213850235374927,1.213850235374927,1.051456401680984,0.9059355934390227,0.0,0.0,0.0,-41.45127305847964,0,-6.589591670549569e-07,-6.774783029937312,-35.087371455269746,1.5707963416960578,3.036379011068649,8.070304644715935e-08,155.0173898614708,1565.0320771713887,-8.278990993091801e-08,4.238894687191622,-40.139678044750035,-1.5592899687965187e-07,-1.6031116566093868,-8.302697507974194,1.5707962206842414,2.6545933038013336,5.256136700953991e-08,83.24339062031964,3.6043722427389e-08,2.543066592436158,"[0, 0, 0]",-8.274027197790728e-08,4.240673496548128,-40.058125249174225,1.4463953761103653e-08,-0.7413186336441777,7.002622272202123,-6.734231208160605e-07,-6.033464396293135,-0.6387206689922272
18.470000000000088,0.38178570726731653,0.38178570726731653,1.05144926994746,0.9059510823061575,0.0,0.0,0.0,-41.451278274997485,1,-8.285518424330805e-07,-6.800747509696492,-35.059853330365726,1.570796347868321,3.0369894656051954,7.986634763342349e-08,155.05969849916102,1564.6302654188555,-8.454985281625285e-08,4.222832850851939,-40.222672461866956,-1.96059580187315e-07,-1.6092556113273173,-8.296185915410016,4.712388874799031,2.7961373844523236,5.243798066730014e-08,-83.24753316486613,-6.072099087534229e-08,1.714557683140727,"[0, 0, 0]",-8.278990993091801e-08,4.238894687191622,-40.139678044750035,1.4502160525685557e-08,-0.7425196048216902,7.031195648600538,-8.43054002958766e-07,-6.058227904874802,-0.6397707039687773
18.48000000000009,0.4500584571220671,0.4500584571220671,1.051442143280879,0.905966536266724,0.0,0.0,0.0,-41.45128350221941,0,4.911006541260636e-07,5.342041735906573,-33.75255307464148,1.570796347868321,3.0372415891943074,7.901885283493349e-08,155.10191819835913,1564.2276316185773,-8.494910688174923e-08,4.221106988769572,-40.30408759379055,1.1620876708803943e-07,1.264083194853978,-7.986840469308053,4.712388875322929,1.9636705658765903,5.234149918805223e-08,-83.24583055028054,4.1424695025759735e-08,-1.374034766024924,"[0, 0, 0]",-8.454985281625285e-08,4.222832850851939,-40.222672461866956,1.4840585817677075e-08,-0.7412113827444456,7.0600716926606735,4.7626006830838647e-07,6.083253118651019,0.6386587349172528
18.49000000000009,1.2822731521086883,1.2822731521086883,1.0514350223424143,0.9059819539412739,0.0,0.0,0.0,-41.45128874013644,0,6.328977888532607e-07,5.3656702761206025,-33.72286092775785,1.5707963416960578,3.037136078243329,7.817601103812216e-08,155.14419261218666,1563.8241915762667,-8.361925248051711e-08,4.233775776733882,-40.38392086833513,1.497621131583836e-07,1.2696743980081437,-7.979814439608124,4.712388875846397,1.1312501107140387,5.235220804694257e-08,-83.23826048222979,-3.928292324769167e-08,2.8880483761753326,"[0, 0, 0]",-8.494910688174923e-08,4.221106988769572,-40.30408759379055,1.494092551590682e-08,-0.7424121033040489,7.088719267686419,6.179568633373539e-07,6.108082379424651,0.6397085446921732
18.500000000000092,2.1147991182222188,2.1147991182222188,1.0514279077825333,0.9059973339823034,0.0,0.0,0.0,-41.45129398854297,0,-6.747031016241615e-07,-6.878859935483947,-34.97710139490387,1.5707963416960578,3.0373881455198855,7.733957120434814e-08,155.18652141833158,1563.4199459571125,-8.366871427428606e-08,4.231985452253477,-40.46520296247852,-1.596544719121742e-07,-1.6277392940891935,-8.276604389070402,4.712388876368307,0.29898132971589586,5.2029714049100036e-08,-83.21549571739878,-2.5215876320815786e-08,1.6649045900252724,"[0, 0, 0]",-8.361925248051711e-08,4.233775776733882,-40.38392086833513,1.4736793389340211e-08,-0.7461472929700932,7.117134875449667,-6.894398950135017e-07,-6.132712642513853,-0.6429422818105663
18.510000000000094,2.9468158319438045,2.9468158319438045,1.0514207989661652,0.9060126778235505,0.0,0.0,0.0,-41.45129924743037,1,-1.02979948672026e-06,-6.904941744419058,-34.94942879515774,1.570796347868321,3.0379971108134565,7.649280068345124e-08,155.22875973159645,1563.014880260972,-8.568538990509302e-08,4.215677200721436,-40.5479362656401,-2.4368065424921627e-07,-1.633911012319072,-8.270056243244083,1.5707962233026036,0.533198500197408,5.278836034991885e-08,83.220470265262,1.7694513648457814e-07,2.659814162667576,"[0, 0, 0]",-8.366871427428606e-08,4.231985452253477,-40.46520296247852,1.4775271280118807e-08,-0.7473370859456171,7.1458532183927135,-1.0445747580003789e-06,-6.157604658473441,-0.6439827661200906
18.520000000000095,2.5047986106160485,2.5047986106160485,1.0514136952540798,0.9060279868991641,0.0,0.0,0.0,-41.451304516987264,0,5.47412453053549e-07,5.436805427163939,-33.633619331761494,1.570796347868321,3.0382448353976987,7.563309311265447e-08,155.2709078185047,1562.6089951794777,-8.625612425426042e-08,4.213940180928121,-40.62908003320595,1.2953378441573548e-07,1.2865070536560541,-7.958697269926971,1.5707962238346942,1.3654596398835377,5.362976866571587e-08,83.23175767196392,-8.66347332517468e-09,-0.4023328222819274,"[0, 0, 0]",-8.568538990509302e-08,4.215677200721436,-40.5479362656401,1.5161861043066205e-08,-0.7459557806827645,7.174877489892803,5.322505920104828e-07,6.182761207846704,0.64280769533297
18.530000000000097,1.6727851955141602,1.6727851955141602,1.0514065973063838,0.9060432598410412,0.0,0.0,0.0,-41.45130979720467,0,6.463081255944343e-07,5.460572480212494,-33.60379306660023,1.5707963416960578,3.038132013123692,7.47775935994909e-08,155.31311168626615,1562.2023066207262,-8.48437783784525e-08,4.226833371361376,-40.7086317170752,1.5293539074584774e-07,1.2921310329948794,-7.9516395039229755,1.570796224371969,2.1978604271017392,5.382521911543696e-08,83.24839977167643,4.7753563269392603e-08,3.7307527647837366,"[0, 0, 0]",-8.625612425426042e-08,4.213940180928121,-40.62908003320595,1.5293492865040194e-08,-0.7471453725507179,7.203668736255463,6.31014632729394e-07,6.207717852763212,0.6438479943489761
18.5400000000001,0.8402715860219542,0.8402715860219542,1.0513995057724064,0.906058495312991,0.0,0.0,0.0,-41.451315087875635,0,-6.94289924771847e-07,-6.983403269673211,-34.866217757510334,1.5707963416960578,3.0383797338877647,7.392887196830777e-08,155.35537101132303,1561.794815253416,-8.490054785817347e-08,4.225031640015265,-40.78964174499436,-1.6428928669004193e-07,-1.6524773022171337,-8.250366079910194,1.570796224911713,3.030455222976381,5.412353424721978e-08,83.27055940325192,1.190946308717154e-08,0.7011735503136574,"[0, 0, 0]",-8.48437783784525e-08,4.226833371361376,-40.7086317170752,1.5073195468978652e-08,-0.7509317340529091,7.232223444942368,-7.093631202408256e-07,-6.232471535620301,-0.6471261145770693
18.5500000000001,0.007924510911393208,0.007924510911393208,1.0513868681080227,0.10142347624965713,0.0,0.0,0.0,-41.451320388991476,1,-1.1729968372280813e-06,-1.4525530836993878,-34.2628275598439,1.570796347868321,3.0388264468489528,7.306882012425143e-08,155.39757142287786,1561.3865098871559,-8.710982095309513e-08,4.215050670953246,-40.871431507019814,-2.77565332294292e-07,-0.3437165101867396,-8.10758632518027,4.712388879028486,2.4200161371903715,5.127252476341935e-08,-83.27222999931485,-5.821113598472573e-07,0.3670543377301694,"[0, 0, 0]",-8.490054785817347e-08,4.225031640015265,-40.78964174499436,1.5113316518176633e-08,-0.7521063418993509,7.26104579896162,-1.188110153746258e-06,-0.700446741800037,-0.07255296981404552
18.5600000000001,0.8243427231402614,0.8243427231402614,1.0513853397072856,0.9060888588939813,0.0,0.0,0.0,-41.451325700697765,0,5.79193341040357e-07,5.530842473985031,-33.51326504758676,1.570796347868321,3.0389096772732964,7.219420913319571e-08,155.4397460556488,1560.9773946269793,-8.781237725804794e-08,4.219875883238054,-40.95162052829052,1.3705407130373055e-07,1.3087589671484645,-7.930217928960508,4.712388879526395,1.5873185071815328,4.830912919280829e-08,-83.26729600245288,-1.0567754274956301e-08,0.6197450346626819,"[0, 0, 0]",-8.710982095309513e-08,4.215050670953246,-40.871431507019814,1.5537554380082907e-08,-0.7518277307676409,7.290131958531943,5.636557866602741e-07,6.282670204752671,0.647928694579057
18.570000000000103,1.656957122724757,1.656957122724757,1.0513782654927404,0.9061039864398469,0.0,0.0,0.0,-41.451331022941105,0,6.587029271686365e-07,5.553462495193525,-33.48241627465938,1.570796347868321,3.03879039254056,7.132340842147368e-08,155.4820103862435,1560.567482093293,-8.634776508635934e-08,4.232990235699957,-41.030886208974,1.5586836303398725e-07,1.3141115252321474,-7.922918207736456,4.712388880007822,0.7547728633676865,4.797633864319266e-08,-83.24183276031638,-5.599035564816912e-08,4.47290339263784,"[0, 0, 0]",-8.781237725804794e-08,4.219875883238054,-40.95162052829052,1.5693972363544108e-08,-0.7541831522737267,7.318940915637659,6.430089548050924e-07,6.307645647467251,0.6499738326440679
18.580000000000105,2.489622051271338,2.489622051271338,1.0513711973054463,0.9061190775839282,0.0,0.0,0.0,-41.45133635555734,1,-7.235437408343593e-07,-7.090544523004524,-34.75700601454184,1.570796347868321,3.039034637502812,7.045954718982324e-08,155.52433119563727,1560.1567695451633,-8.642448124372721e-08,4.231171643056429,-41.11162341696184,-1.712115945075595e-07,-1.677830053937768,-8.224523389831742,1.5707962268965598,0.07754185510911926,4.772994209104502e-08,83.22111093504475,6.7110452186412745e-09,0.3285383383116726,"[0, 0, 0]",-8.634776508635934e-08,4.232990235699957,-41.030886208974,1.546277809387658e-08,-0.7580252786243186,7.347630686329047,-7.390065189282358e-07,-6.332519244380205,-0.6533003453135442
18.590000000000106,2.961492782393693,2.961492782393693,1.051364135037104,0.9061341326170392,0.0,0.0,0.0,-41.45134169858212,0,2.1821179820586038e-07,5.598464431054473,-33.420386771455085,1.570796347868321,3.0392764771270273,6.95923129697396e-08,155.56663408532395,1559.7452499919036,-8.702236277299909e-08,4.229406294278889,-41.19228723498339,5.163528865318465e-08,1.3247602984297357,-7.908240214478063,1.5707962273691847,0.9096907637260614,4.6795024575708916e-08,83.20867078834367,-1.9369454828586292e-07,-2.8165676785282865,"[0, 0, 0]",-8.642448124372721e-08,4.231171643056429,-41.11162341696184,1.5507084906510424e-08,-0.7591962020328301,7.376630160769191,2.0270471329934995e-07,6.357660633087303,0.6543247663578473
18.600000000000108,2.1295857134009655,2.1295857134009655,1.0513570785077377,0.9061491519809425,0.0,0.0,0.0,-41.45134705210638,0,6.010897774673007e-07,5.622457682833417,-33.390328137972986,1.5707963416960578,3.039152759642145,6.872693610942798e-08,155.60899452821928,1559.3329318853619,-8.60530092893258e-08,4.2426822847860315,-41.27133407337247,1.4223540808147303e-07,1.3304378029987856,-7.901127463338438,1.57079622783289,1.7417483805800444,4.5946020022084246e-08,83.20285258245295,2.389363756092858e-08,1.6529265003854285,"[0, 0, 0]",-8.702236277299909e-08,4.229406294278889,-41.19228723498339,1.564512134451347e-08,-0.760374374824181,7.405663460672296,5.854446561227872e-07,6.382832057657598,0.655355453461091
