time,position,velocity,acceleration,rotation,angular_velocity,angular_acceleration,Angle to Body
0.5200000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.49997979e-15 1.29219354e+02],[360.32235965],[9.43118548],[3.27340162e-16],[3.14159265]
0.5300000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.49197737e-15 1.29097730e+02],[360.32235965],[9.43118548],[3.4066723e-16],[3.14159265]
0.5400000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.48380824e-15 1.28973567e+02],[360.32235965],[9.43118548],[3.54266058e-16],[3.14159265]
0.5500000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.47547236e-15 1.28846863e+02],[360.32235965],[9.43118548],[3.68136697e-16],[3.14159265]
0.5600000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.46696969e-15 1.28717620e+02],[360.32235965],[9.43118548],[3.82279178e-16],[3.14159265]
0.5700000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.45830023e-15 1.28585835e+02],[360.32235965],[9.43118548],[3.96693506e-16],[3.14159265]
0.5800000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.44946398e-15 1.28451511e+02],[360.32235965],[9.43118548],[4.11379666e-16],[3.14159265]
0.5900000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.44046094e-15 1.28314645e+02],[360.32235965],[9.43118548],[4.26337619e-16],[3.14159265]
0.6000000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.43129115e-15 1.28175240e+02],[360.32235965],[9.43118548],[4.41567305e-16],[3.14159265]
0.6100000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.42195464e-15 1.28033295e+02],[360.32235965],[9.43118548],[4.5706864e-16],[3.14159265]
0.6200000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.41245148e-15 1.27888812e+02],[360.32235965],[9.43118548],[4.72841517e-16],[3.14159265]
0.6300000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.40273932e-15 1.27741099e+02],[360.32235965],[9.43118548],[4.88885805e-16],[3.14159265]
0.6400000000000003,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.39279695e-15 1.27589809e+02],[360.32235965],[9.43118548],[5.05201303e-16],[3.14159265]
0.6500000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.38268802e-15 1.27435982e+02],[360.32235965],[9.43118548],[5.21787722e-16],[3.14159265]
0.6600000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.3724127e-15 1.2727962e+02],[360.32235965],[9.43118548],[5.38644791e-16],[3.14159265]
0.6700000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.36197110e-15 1.27120726e+02],[360.32235965],[9.43118548],[5.55772277e-16],[3.14159265]
0.6800000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.35136338e-15 1.26959300e+02],[360.32235965],[9.43118548],[5.73169922e-16],[3.14159265]
0.6900000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.34058969e-15 1.26795346e+02],[360.32235965],[9.43118548],[5.9083745e-16],[3.14159265]
0.7000000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.32965019e-15 1.26628867e+02],[360.32235965],[9.43118548],[6.08774557e-16],[3.14159265]
0.7100000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.31854508e-15 1.26459864e+02],[360.32235965],[9.43118548],[6.26980919e-16],[3.14159265]
0.7200000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.30727454e-15 1.26288342e+02],[360.32235965],[9.43118548],[6.45456187e-16],[3.14159265]
0.7300000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.29583879e-15 1.26114302e+02],[360.32235965],[9.43118548],[6.64199992e-16],[3.14159265]
0.7400000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.28423806e-15 1.25937749e+02],[360.32235965],[9.43118548],[6.83211938e-16],[3.14159265]
0.7500000000000004,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.27247258e-15 1.25758687e+02],[360.32235965],[9.43118548],[7.02491608e-16],[3.14159265]
0.7600000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.26054260e-15 1.25577118e+02],[360.32235965],[9.43118548],[7.22038564e-16],[3.14159265]
0.7700000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.24844839e-15 1.25393048e+02],[360.32235965],[9.43118548],[7.41852341e-16],[3.14159265]
0.7800000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.23619023e-15 1.25206480e+02],[360.32235965],[9.43118548],[7.61932455e-16],[3.14159265]
0.7900000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.22376841e-15 1.25017418e+02],[360.32235965],[9.43118548],[7.82278395e-16],[3.14159265]
0.8000000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.21118323e-15 1.24825868e+02],[360.32235965],[9.43118548],[8.02889632e-16],[3.14159265]
0.8100000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.19843503e-15 1.24631835e+02],[360.32235965],[9.43118548],[8.2376561e-16],[3.14159265]
0.8200000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.18552413e-15 1.24435322e+02],[360.32235965],[9.43118548],[8.44905752e-16],[3.14159265]
0.8300000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.17245087e-15 1.24236337e+02],[360.32235965],[9.43118548],[8.66309459e-16],[3.14159265]
0.8400000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.15921563e-15 1.24034883e+02],[360.32235965],[9.43118548],[8.87976107e-16],[3.14159265]
0.8500000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.14581877e-15 1.23830967e+02],[360.32235965],[9.43118548],[9.09905052e-16],[3.14159265]
0.8600000000000005,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.13226068e-15 1.23624595e+02],[360.32235965],[9.43118548],[9.32095625e-16],[3.14159265]
0.8700000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.11854176e-15 1.23415773e+02],[360.32235965],[9.43118548],[9.54547137e-16],[3.14159265]
0.8800000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.10556158e-15 1.23219190e+02],[360.32235965],[9.43118548],[9.77258945e-16],[3.14159265]
0.8900000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.09452196e-15 1.23054473e+02],[360.32235965],[9.43118548],[1.0002319e-15],[3.14159265]
0.9000000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.08332556e-15 1.22887373e+02],[360.32235965],[9.43118548],[1.02346989e-15],[3.14159265]
0.9100000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.07197095e-15 1.22717868e+02],[360.32235965],[9.43118548],[1.04697541e-15],[3.14159265]
0.9200000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.06045842e-15 1.22545961e+02],[360.32235965],[9.43118548],[1.070748e-15],[3.14159265]
0.9300000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.04878825e-15 1.22371656e+02],[360.32235965],[9.43118548],[1.09478721e-15],[3.14159265]
0.9400000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.03696072e-15 1.22194958e+02],[360.32235965],[9.43118548],[1.11909255e-15],[3.14159265]
0.9500000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.02497616e-15 1.22015872e+02],[360.32235965],[9.43118548],[1.1436635e-15],[3.14159265]
0.9600000000000006,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.01283487e-15 1.21834402e+02],[360.32235965],[9.43118548],[1.16849955e-15],[3.14159265]
