,Time (s),acceleration,altitude,speed,Weight,Net Force,Drag,Thrust
4846,44.27,-11.28,13713.28,111.53,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4847,44.28,-10.79,13718.01,111.42,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4848,44.29,-11.77,13703.83,111.31,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4849,44.3,-9.32,13712.85,111.2,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4850,44.31,-10.3,13712.42,111.09,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4851,44.32,-12.75,13716.72,110.99,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4852,44.33,-9.32,13719.3,110.88,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4853,44.34,-9.32,13711.13,110.78,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4854,44.35,-12.26,13719.3,110.67,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4855,44.36,-9.81,13721.88,110.57,-496.1496098878835,-496.1496098878835,-0.0,0.0
4856,44.37,-9.81,13728.34,110.46,-496.1496098878835,-496.1496098878835,-0.0,0.0
4857,44.38,-10.79,13731.36,110.35,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4858,44.39,-12.26,13727.05,110.24,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4859,44.4,-12.26,13722.74,110.13,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4860,44.41,-12.26,13727.05,110.01,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4861,44.42,-9.32,13724.04,109.9,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4862,44.43,-10.79,13724.9,109.8,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4863,44.44,-9.81,13737.83,109.7,-496.1496098878835,-496.1496098878835,-0.0,0.0
4864,44.45,-9.81,13727.05,109.6,-496.1496098878835,-496.1496098878835,-0.0,0.0
4865,44.46,-7.85,13729.2,109.5,-496.1496098878835,-397.02083971660403,99.12877017127948,0.0
4866,44.47,-11.77,13743.87,109.39,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4867,44.48,-9.32,13739.12,109.28,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4868,44.49,-13.24,13739.12,109.17,-496.1496098878835,-669.6249576876226,-173.47534779973904,0.0
4869,44.5,-14.71,13739.99,109.05,-496.1496098878835,-743.9715353160823,-247.82192542819877,0.0
4870,44.5,-14.71,13739.99,109.05,-496.1496098878835,-743.9715353160823,-247.82192542819877,0.0
4871,44.51,-11.28,13751.65,108.92,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
