x,y,x_acc,y_acc,
0.7419999179009986,395.49799468006927,-0.02765265378030954,-290.9065290874469,
0.7517867121637402,398.5763219137542,-0.02763703605269227,-285.6917658102605,
0.7615707435031014,401.6263336591494,-0.027621431553506905,-280.61799998449175,
0.7713520134788716,404.6485304953719,-0.027605840267817053,-275.68018346955705,
0.7811305236495194,407.6433996477989,-0.027590262180707387,-270.8734924409555,
0.7909062755721943,410.611415459828,-0.027574697277283643,-266.19331551756176,
0.8006792708027282,413.55303984395033,-0.027559145542672546,-261.6352426165277,
0.8104495108956368,416.4687227132176,-0.027543606962021808,-257.1950544852207,
0.8202169974041212,419.3589023941174,-0.02752808152050006,-252.86871286355054,
0.8299817318800695,422.2240060218124,-0.02751256920329683,-248.65235123362643,
0.8397437158740578,425.0644499186398,-0.027497069995622524,-244.54226611696672,
