time [s],fill pressure [Pa],run mass [kg],fill mass [kg],run pressure [Pa],head loss [Pa],flow rate [kg]
0.5800000000000003,5023130.7104946645,0.5900000000000003,19.409999999999908,5844874.246916867,500000.0,1
0.5900000000000003,5022492.80547259,0.6000000000000003,19.399999999999906,5854066.971170273,500000.0,1
0.6000000000000003,5021854.5288664,0.6100000000000003,19.389999999999905,5863156.225327334,500000.0,1
0.6100000000000003,5021215.880132065,0.6200000000000003,19.379999999999903,5872143.589333151,500000.0,1
0.6200000000000003,5020576.858724276,0.6300000000000003,19.3699999999999,5881030.615876421,500000.0,1
0.6300000000000003,5019937.464096455,0.6400000000000003,19.3599999999999,5889818.830820115,500000.0,1
0.6400000000000003,5019297.695700755,0.6500000000000004,19.3499999999999,5898509.733629682,500000.0,1
0.6500000000000004,5018657.552988041,0.6600000000000004,19.339999999999897,5907104.797798735,500000.0,1
0.6600000000000004,5018017.035407897,0.6700000000000004,19.329999999999895,5915605.471271758,500000.0,1
0.6700000000000004,5017376.14240862,0.6800000000000004,19.319999999999894,5924013.176863796,500000.0,1
0.6800000000000004,5016734.873437211,0.6900000000000004,19.309999999999892,5932329.312676714,500000.0,1
0.6900000000000004,5016093.227939379,0.7000000000000004,19.29999999999989,5940555.25251196,500000.0,1
0.7000000000000004,5015451.205359547,0.7100000000000004,19.28999999999989,5948692.346279529,500000.0,1
0.7100000000000004,5014808.805140806,0.7200000000000004,19.279999999999887,5956741.920403056,500000.0,1
0.7200000000000004,5014166.026724968,0.7300000000000004,19.269999999999886,5964705.278220775,500000.0,1
0.7300000000000004,5013522.869552515,0.7400000000000004,19.259999999999884,5972583.700382286,500000.0,1
0.7400000000000004,5012879.333062626,0.7500000000000004,19.249999999999883,5980378.4452409325,500000.0,1
0.7500000000000004,5012235.416693156,0.7600000000000005,19.23999999999988,5988090.7492416855,500000.0,1
0.7600000000000005,5011591.119880633,0.7700000000000005,19.22999999999988,5995721.827304455,500000.0,1
0.7700000000000005,5010946.442060275,0.7800000000000005,19.219999999999878,6003272.873202685,500000.0,1
0.7800000000000005,5010301.382665957,0.7900000000000005,19.209999999999877,6010745.059937194,500000.0,1
0.7900000000000005,5009655.941130219,0.8000000000000005,19.199999999999875,6018139.540105145,500000.0,1
0.8000000000000005,5009010.11688426,0.8100000000000005,19.189999999999873,6025457.446264108,500000.0,1
0.8100000000000005,5008363.909357948,0.8200000000000005,19.179999999999872,6032699.891291146,500000.0,1
0.8200000000000005,5007717.317979789,0.8300000000000005,19.16999999999987,6039867.968736925,500000.0,1
0.8300000000000005,5007070.34217695,0.8400000000000005,19.15999999999987,6046962.753174683,500000.0,1
0.8400000000000005,5006422.9813752305,0.8500000000000005,19.149999999999867,6053985.30054422,500000.0,1
0.8500000000000005,5005775.234999099,0.8600000000000005,19.139999999999866,6060936.648490706,500000.0,1
0.8600000000000005,5005127.102471627,0.8700000000000006,19.129999999999864,6067817.816698434,500000.0,1
