time,thrust,combustion_chamber.pressure,ox_tank.pressure,combustion_chamber.temperature,ox_tank.temperature,combustion_chamber.fuel_grain.geometry.effective_radius,OF,combustion_chamber.cstar,specific_impulse,fuel_flow,ox_flow,mass_flow,mass_flow_out,combustion_chamber.ideal_gas_constant,propellant_CG,propellant_mass,combustion_chamber.fuel_grain.regression_rate,combustion_chamber.fuel_grain.flux,combustion_chamber.fuel_grain.geometry.port_area,combustion_chamber.fuel_grain.geometry.burn_area,combustion_chamber.fuel_grain.geometry.length_regressed,nozzle.exit_pressure,ox_tank.ox_mass,ox_tank.oxidizer_center_of_mass,fuel_grain.fuel_mass,fuel_grain.total_CG
12.254999999999916,5020.164364794204,2205474.2374023604,3006803.5662372564,3092.090485625707,271.6341486350032,0.07833483608050322,9.863939481401287,1379.8175705230694,198.62596188700542,0.23942568126389735,2.3616804302803573,2.601106111544255,2.576397777337672,293.05396233259876,2.1350854844907245,9.571378489468794,0.0006158047131095379,115.93751106273544,0.019277901221755364,0.3967160030362921,0.024694753054388407,82550.75011767939,6.356322441289829,1.601505049463006,3.215056048178965,3.19
12.294999999999915,5055.335464377983,2225542.108657421,2994372.805193201,3116.464673895355,271.47433555527675,0.07835543537360519,9.288463150006402,1389.5340267224901,202.7149345831312,0.2463939475213412,2.288621101936589,2.53501504945793,2.542115197887794,294.6565295399662,2.1326905032687127,9.468895670232488,0.0006335378945733083,121.00202268724502,0.019288041368097055,0.396833972061425,0.024720103420242636,84479.6441275536,6.261855224078615,1.591184160694532,3.2070404461538735,3.19
12.334999999999914,5012.55349801632,2200803.5994365653,2982197.798265124,3102.516467071242,271.3173386501963,0.07837559235566274,9.604726228839883,1384.0660439557894,200.58962888088865,0.24123776733077243,2.3170227112686432,2.558260478599416,2.5473084634514884,293.76049849916444,2.1303112981388357,9.369505296164352,0.0006201004296316592,117.15766171762604,0.019297966364620653,0.3969494380640726,0.024744915911551632,82924.53573605648,6.170310380001151,1.5808817720816408,3.1991949161632016,3.19
12.374999999999913,5009.458396859324,2202162.7686473834,2969732.7606098955,3110.9825854241585,271.15611459373775,0.07839590221187837,9.398650880157483,1387.5247042950382,201.92141650128167,0.24320085907489933,2.2857599681993586,2.528960827274258,2.5289449899463388,294.3491936334631,2.1278579456065234,9.268917314796802,0.000624963138488992,118.54402983541742,0.01930796921609205,0.39706580982014666,0.02476992304023013,83393.88269310238,6.077629471550406,1.5701403285893127,3.191287843246397,3.19
12.414999999999912,4980.6656881284025,2187944.543199025,2957297.6234792448,3106.145929119878,270.99478262210357,0.07841601443094173,9.50257233533393,1385.6913471550936,201.13830415098894,0.2409669675660165,2.2898060397221367,2.530773007288153,2.5241990589459093,294.05989302853186,2.1253850497021083,9.169654768708453,0.0006190432624533276,116.8569870553165,0.019317877282904173,0.3971810788649307,0.02479469320726043,82660.01805058055,5.986199072822432,1.5592237032079492,3.1834556958860207,3.19
12.454999999999911,4962.1997798841185,2182867.5093988734,2944695.977174066,3109.210323545641,270.83078271797046,0.07843613647894446,9.4218389556463,1387.018948597346,201.42831694246945,0.2412165913581652,2.2727038772065753,2.5139204685647405,2.5112197239870557,294.3005340608472,2.122860276917585,9.070224541622903,0.0006195046525663629,116.98818159743992,0.019327792735257154,0.39729643383205027,0.024819481838142882,82632.90255281923,5.8946068312335465,1.547957166141096,3.1756177103893566,3.19
12.49499999999991,4938.520753638303,2172201.2730612643,2932041.656107657,3107.529212010738,270.66557930159956,0.07845614395789989,9.451736783417921,1386.4478835815387,201.12589252356565,0.23997421342464542,2.2681731000975036,2.508147313522149,2.5029944778152133,294.22228994800486,2.12030418097273,8.971521034355261,0.0006161362167472875,116.0315180914843,0.019337654254284235,0.3974111613465017,0.024844135635710588,82179.56306967603,5.803698676145284,1.5364340455491978,3.1678223582099774,3.19
12.53499999999991,4913.785728898642,2164772.6759267715,2919260.737740662,3108.6970445937177,270.4981923630428,0.07847611083171567,9.414800646359444,1387.0312100462493,201.0183869045882,0.23961737928171892,2.2559498573404833,2.495567236622202,2.4917899143234923,294.3423599470701,2.117705213606384,8.87301259668871,0.0006150429110654438,115.721578053748,0.019347498266880193,0.39752568519361486,0.02486874566720048,81974.96144514196,5.712971752141383,1.5245821474667922,3.1600408445473263,3.19
12.574999999999909,4889.348287055174,2155268.580205918,2906393.198639721,3108.143642829046,270.32912809940797,0.07849599177318735,9.418113875393383,1386.9185877927619,200.78949819748783,0.23871548014756497,2.248249575848975,2.48696505599654,2.4822240154733626,294.343135167971,2.115071653021725,8.775024611029771,0.0006125523639966745,115.01657641684969,0.019357302402158515,0.39763974511366745,0.024893256005396287,81615.90874944362,5.622733757847764,1.5124312040984067,3.1522908531820075,3.19
12.614999999999908,4864.41927441016,2146893.295788047,2893409.1979827946,3108.636369380657,270.15797735093054,0.07851581341301847,9.396783825952834,1387.2309788937775,200.63036131484282,0.23813193435494318,2.237674309189392,2.4758062435443353,2.4715268789584863,294.41718885597754,2.1123997596172774,8.67736579926425,0.0006108803531738626,114.54409138886308,0.019367079765623244,0.39775349357423573,0.024917699414058112,81345.60170672416,5.5328037748138055,1.4999470265433998,3.144562024450444,3.19
