,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
113,293.9,1.3,11.826485855699971,1.2192,1420.974,1.4355
114,308.6,1.3,12.431517885916854,1.2187,1422.5706,1.4354
115,323.3,1.3,13.036816000645189,1.2182,1423.3660000000002,1.4354
116,338.0,1.3,13.642785065590314,1.2177,1424.1604,1.4354
117,352.7,1.3,14.249929295786028,1.2173,1424.9538,1.4354
118,88.2,1.5,3.355781303504166,1.2462,1418.502,1.4368
119,102.9,1.5,3.9265816988475923,1.2447,1422.3186,1.4367
120,117.6,1.5,4.499368711022687,1.2435,1425.3177,1.4366
121,132.3,1.5,5.073630924988495,1.2423,1428.0409,1.4366
122,147.0,1.5,5.649283271204028,1.2412,1430.2190999999998,1.4365
123,161.7,1.5,6.226175349428208,1.2403,1432.6544000000001,1.4365
124,176.4,1.5,6.804505477549761,1.2394,1434.555,1.4365
125,191.0,1.5,7.379931223677601,1.2386,1436.4461999999999,1.4364
126,205.7,1.5,7.96021825780736,1.2378,1438.3355999999999,1.4364
127,220.4,1.5,8.541642444676976,1.2371,1439.9541,1.4364
128,235.1,1.5,9.12371934181931,1.2365,1441.571,1.4363
129,249.8,1.5,9.706625218573928,1.2358,1442.3808000000001,1.4363
130,264.5,1.5,10.290627553203906,1.2352,1444.2624,1.4363
131,279.2,1.5,10.875238577493866,1.2347,1445.3373,1.4362
132,293.9,1.5,11.460770550616129,1.2341,1446.411,1.4362
133,308.6,1.5,12.047158026233605,1.2336,1447.4835,1.4362
134,323.3,1.5,12.633841344275108,1.2331,1448.5548000000001,1.4362
135,338.0,1.5,13.221200860551535,1.2326,1449.3566,1.4361
136,352.7,1.5,13.809169570494499,1.2322,1450.6981,1.4361
137,117.6,1.7,4.369960239307346,1.2576,1445.3544000000002,1.4373
138,132.3,1.7,4.927557823382622,1.2564,1448.636,1.4372
139,147.0,1.7,5.486507669913784,1.2554,1451.1092999999998,1.4372
140,161.7,1.7,6.0468942821884,1.2544,1453.0335999999998,1.4371
141,176.4,1.7,6.608226567768038,1.2535,1455.489,1.4371
142,191.0,1.7,7.166979362101314,1.2527,1457.134,1.4371
143,205.7,1.7,7.7304671351798255,1.2519,1459.041,1.437
144,220.4,1.7,8.295069627399323,1.2512,1460.6748,1.437
145,235.1,1.7,8.860330142458732,1.2505,1462.307,1.437
146,249.8,1.7,9.426415094339623,1.2499,1463.9376,1.4369
