Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
22.48,0,0.1586919137586281256689990753,0.158691913758628,0.157848157709075,0.158691913758628,0.157848157709075,0,0.000000,0.000000,0,5.523211775543877856244729249,74.740602492354565222855261642,92.40876116025845104749127761,2886537000
22.49,0,0.1586882523110969320247280932,0.158688252311097,0.157845222167923,0.158688252311097,0.157845222167923,0,0.0000000,0.0000000,0,5.5223100133954300131046835769,74.730981087301932460857518562,92.40417892138352896572995834,2887821000
22.50,0,0.1586846156848846204617263274,0.158684615684885,0.157842310510587,0.158684615684885,0.157842310510587,0,0.0000000,0.0000000,0,5.5214087026504466577908262771,74.721395325090835565644559857,92.39961493109028721791485128,2889105000
22.51,0,0.1586809621027422936584266630,0.158680962102742,0.157839380961434,0.158680962102742,0.157839380961434,0,0.0000000,0.0000000,0,5.5205074486017338337047466704,74.711777865825495490577870844,92.39503112136272482937420366,2890389000
22.52,0,0.1586773112901061535441916719,0.158677311290106,0.157836453247509,0.158677311290106,0.157836453247509,0,0.0000000,0.0000000,0,5.5196065995265522884201252831,74.702196722317445230011712125,92.39046606265289361016434167,2891673000
22.53,0,0.1586736744707964441800924339,0.158673674470796,0.157833538594242,0.158673674470796,0.157833538594242,0,0.0000000,0.0000000,0,5.5187061457719824174245970405,74.692595741220100111028863583,92.38588698669547053789117248,2892957000
22.54,0,0.1586700326795601382669224944,0.15867003267956,0.157830618037983,0.15867003267956,0.157830618037983,0,0.0000000,0.0000000,0,5.5178058356290932922488196651,74.683017904100426079468986353,92.38131977122935929319294095,2894241000
22.55,0,0.1586664057042332975151033230,0.158666405704233,0.15782771136817,0.158666405704233,0.15782771136817,0,0.0000000,0.0000000,0,5.5169059241375329844234508804,74.673425718542282060732225412,92.37674169514648254249673688,2895525000
22.56,0,0.1586627806700121923432782572,0.158662780670012,0.157824805711596,0.158662780670012,0.157824805711596,0,0.0000000,0.0000000,0,5.516006360043337213393102812,74.663865066571120999484935817,92.37217968368111938839970451,2896809000
22.57,0,0.1586591495616469969010573294,0.158659149561647,0.157821893054605,0.158659149561647,0.157821893054605,0,0.0000000,0.0000000,0,5.5151069758002003746454103836,74.654276232380392577294177922,92.36759940252833288949906852,2898093000
22.58,0,0.1586555432669184069098146834,0.158655543266918,0.157819004286569,0.158655543266918,0.157819004286569,0,0.0000000,0.0000000,0,5.5142083422618388636680085183,74.644736169716104270452651139,92.36304391110525619275746518,2899377000
22.59,0,0.1586519200085928619210028411,0.158651920008593,0.157816097631842,0.158651920008593,0.157816097631842,0,0.0000000,0.0000000,0,5.513309242589775428034577742,74.635148010408509210719751839,92.35846056746079395150774357,2900661000
22.60,0,0.1586483215620022931542134745,0.158648321562002,0.157813214867338,0.158648321562002,0.157813214867338,0,0.0000000,0.0000000,0,5.5124111246059027871897301758,74.625611335423524257212797682,92.35390281353494711185760647,2901945000
22.61,0,0.1586447050505714450161863096,0.158644705050571,0.157810313118064,0.158644705050571,0.157810313118064,0,0.0000000,0.0000000,0,5.5115129437908636887071463467,74.616048760364174534417901372,92.34932882904324950297836015,2903229000
22.62,0,0.1586411144483269575054962025,0.158641114448327,0.157807436359622,0.158641114448327,0.157807436359622,0,0.0000000,0.0000000,0,5.5106151484216344999453927775,74.606512652942028065344021156,92.34476771221381669956698828,2904514000
22.63,0,0.1586375146805992799223808109,0.158637514680599,0.157804549518918,0.158637514680599,0.157804549518918,0,0.0000000,0.0000000,0,5.5097173791252703205641955934,74.596954311638031811101113489,92.34019218307361528600433156,2905797000
22.64,0,0.1586339319189234039297305535,0.158633931918923,0.157801678769055,0.158633931918923,0.157801678769055,0,0.0000000,0.0000000,0,5.5088200411341758700081669171,74.587422300694518988897238149,92.33562925494410679875506579,2907081000
22.65,0,0.1586303430755260119316725682,0.158630343075526,0.157798801023827,0.158630343075526,0.157798801023827,0,0.0000000,0.0000000,0,5.5079231750845632198079644743,74.577884669971415856867853911,92.33106013488447179820525665,2908366000
22.66,0,0.1586267539650721993919637107,0.158626753965072,0.157795922099464,0.158626753965072,0.157795922099464,0,0.0000000,0.0000000,0,5.5070263866684957373221547852,74.568365913560815754256615803,92.32650036519048241075133902,2909650000
22.67,0,0.1586231818578531958704553654,0.158623181857853,0.157793059267817,0.158623181857853,0.157793059267817,0,0.0000000,0.0000000,0,5.5061298662967285222104639785,74.558823294473837863823070416,92.32192438023403640740072306,2910934000
22.68,0,0.1586196125673501462092881024,0.15861961256735,0.157790198343923,0.15861961256735,0.157790198343923,0,0.0000000,0.0000000,0,5.5052338196520999699605269779,74.5493261950561215346368908,92.31737197397184672211930993,2912218000
22.69,0,0.1586160363044279896643572825,0.158616036304428,0.157787329540201,0.158616036304428,0.157787329540201,0,0.0000000,0.0000000,0,5.5043376945423951239739331032,74.539793360312743148072777382,92.31279750742152885191434262,2913502000
22.70,0,0.1586124659420018222046976183,0.158612465942002,0.157784465731116,0.158612465942002,0.157784465731116,0,0.0000000,0.0000000,0,5.5034418818607934078673856832,74.530287105105614983666617677,92.30823605213941884733906906,2914786000
22.71,0,0.1586089083940906571955367473,0.158608908394091,0.157781613832235,0.158608908394091,0.157781613832235,0,0.0000000,0.0000000,0,5.50254668680752486504247404,74.520779412822086240155289595,92.30367025903704822143496004,2916070000
22.72,0,0.1586053536591730795713274750,0.158605353659173,0.157778763843579,0.158605353659173,0.157778763843579,0,0.0000000,0.0000000,0,5.5016518002847792430728786982,74.511298313753500114064187346,92.29911745638034996718146097,2917354000
22.73,0,0.1586018039350144597826371025,0.158601803935014,0.157775917964454,0.158601803935014,0.157775917964454,0,0.0000000,0.0000000,0,5.500756827483550937446234581,74.501786460056462448786596336,92.29454545240874783324693936,2918638000
22.74,0,0.1585982659232468881274900127,0.158598265923247,0.157773082898029,0.158598265923247,0.157773082898029,0,0.0000000,0.0000000,0,5.4998619593151066676071538116,74.492297758918969029419651435,92.28998505391199233766372666,2919922000
22.75,0,0.1585947229197981489094368002,0.158594722919798,0.157770241941766,0.158594722919798,0.157770241941766,0,0.0000000,0.0000000,0,5.498967808556369857172339718,74.482811930734229245907894062,92.28542243012664946189414439,2921206000
22.76,0,0.1585911838249949812337272463,0.158591183824995,0.157767403997521,0.158591183824995,0.157767403997521,0,0.0000000,0.0000000,0,5.4980736509327815495433816203,74.473340061189570825579921156,92.28086637069810357986092384,2922490000
22.77,0,0.1585876486379188259057854276,0.158587648637919,0.157764569065904,0.158587648637919,0.157764569065904,0,0.0000000,0.0000000,0,5.4971795565683508162509372447,74.463841574849076935182874985,92.27629296783756079793584062,2923774000
22.78,0,0.1585841163192821738251026932,0.158584116319282,0.157761736109151,0.158584116319282,0.157761736109151,0,0.0000000,0.0000000,0,5.4962861514499613767396187139,74.454386430103991784742376237,92.27174097091790224117757663,2925058000
22.79,0,0.1585805967467597003383337520,0.15858059674676,0.157758915006457,0.15858059674676,0.157758915006457,0,0.0000000,0.0000000,0,5.4953927061433063306691521548,74.444909924289616249225447314,92.26717499302218339921724107,2926342000
22.80,0,0.1585770632767220538002456872,0.158577063276722,0.157756079115711,0.158577063276722,0.157756079115711,0,0.0000000,0.0000000,0,5.4944994035315540453981040883,74.435451483578503506048005364,92.26261741334867452258265384,2927626000
22.81,0,0.1585735515132501332227720851,0.15857355151325,0.157753264042507,0.15857355151325,0.157753264042507,0,0.0000000,0.0000000,0,5.4936066990036125924571322381,74.425991761885434124639158881,92.25805545388930296910011393,2928910000
22.82,0,0.1585700336523442544720050110,0.158570033652344,0.157750441984357,0.158570033652344,0.157750441984357,0,0.0000000,0.0000000,0,5.4927139337409417194199171316,74.416546183260603214207885612,92.25350022650470963812917959,2930194000
22.83,0,0.1585665207930351812741598617,0.158566520793035,0.157747624041799,0.158566520793035,0.157747624041799,0,0.0000000,0.0000000,0,5.4918212124200704696880480908,74.407073985974001286924771446,92.24892760746785896154418938,2931479000
22.84,0,0.1585630316238662734177911605,0.158563031623866,0.157744828904882,0.158563031623866,0.157744828904882,0,0.0000000,0.0000000,0,5.4909288837859759147921828399,74.397637621155292761564295965,92.24437285574178825055964515,2932763000
22.85,0,0.1585595243676513112187956310,0.158559524367651,0.15774201479792,0.158559524367651,0.15774201479792,0,0.0000000,0.0000000,0,5.4900368454113901262629791035,74.388187416557293185323448779,92.23980732449357202318150767,2934046000
22.86,0,0.1585560310115673549851110974,0.158556031011567,0.15773921370959,0.158556031011567,0.15773921370959,0,0.0000000,0.0000000,0,5.489145238026768499588071806,74.378772862215642331873245893,92.23525938794853879640475782,2935331000
22.87,0,0.1585525435404187269459272253,0.158552543540419,0.157736417626189,0.158552543540419,0.157736417626189,0,0.0000000,0.0000000,0,5.4882536099215204302550958705,74.369326376981974297098056017,92.23069109860825614984561626,2936615000
22.88,0,0.1585490568813622107465283041,0.158549056881362,0.157733621476368,0.158549056881362,0.157733621476368,0,0.0000000,0.0000000,0,5.4873618737550456658377318212,74.359900183391414010278723767,92.22613316596651377656035727,2937898000
22.89,0,0.1585455641185513516637501648,0.158545564118551,0.157730818345768,0.158545564118551,0.157730818345768,0,0.0000000,0.0000000,0,5.4864709627254862497375689827,74.350475623299435768265944118,92.2215716556345416786805889,2939183000
